model,tag,n_total,n_err,n_valid,MAE_kcal,MAPE_kcal,MAE_protein,MAPE_protein,MAE_fat,MAPE_fat,MAE_carbs,MAPE_carbs
gpt-4.1,gpt41,301,0,301,89.05498253488372,35.64354578443383,7.261564109634552,35.36993392837542,6.496609554817276,53.74765099974759,5.9191602624584725,44.24588540776055
gpt-4.1-mini,,301,0,301,85.90509646179402,38.13167695104647,6.924739558139536,40.1783599901241,6.549815262458472,75.33002884185566,6.980179245847176,52.50666594761146
gpt-4o,gpt4o,301,35,266,79.93496216917292,42.42304093359478,7.098537894736842,42.28982357948282,6.195894033834587,81.57173099806523,6.918197233082707,67.04057733706706
gemini-2.5-pro,gemini_pro,301,0,301,83.83766875415283,43.17678585034495,6.4101562956810625,38.875729119507206,6.488583282392026,105.0416542512058,6.889673797342192,48.76306547371487
claude-sonnet-4-6,claude_sonnet,301,1,300,87.51808179666666,53.15139234933479,7.11193563,57.63223571270514,6.237755393333333,114.84177433570339,9.343282460000001,79.82519298479832
gemini-2.5-flash,gemini_flash,301,1,300,109.80440586000002,58.77701791694019,7.057982443333334,59.68303487784318,8.323671506666667,135.9529459827038,7.925389450000001,66.40978572197349
claude-haiku-4-5,claude_haiku,301,0,301,104.72260074750831,76.31146336067658,8.760466016611296,87.07812468099829,7.371030345514951,354.6682963205441,11.331450800664452,136.84031619311637
