ts,container,cpu_pct,mem_mb,mem_pct,net_in_mb,net_out_mb
1778072898.89,nutriclinic_bot,212.12,1397.8,17.84,136.0,120.0
1778072898.89,nutriclinic_redis,0.24,10.4,0.13,1.02,0.44
1778072898.89,nutriclinic_postgres,0.0,71.6,0.91,144.0,156.0
1778072898.89,nutriclinic_minio,0.03,98.8,1.26,0.05,0.01
1778072901.98,nutriclinic_bot,25.99,1896.4,24.2,141.0,120.0
1778072901.98,nutriclinic_redis,0.33,10.7,0.14,1.02,0.44
1778072901.98,nutriclinic_postgres,0.97,77.1,0.98,144.0,161.0
1778072901.98,nutriclinic_minio,0.01,98.8,1.26,0.05,0.01
1778072905.07,nutriclinic_bot,770.82,2049.0,26.15,141.0,120.0
1778072905.07,nutriclinic_redis,0.83,10.4,0.13,1.02,0.44
1778072905.07,nutriclinic_postgres,2.26,87.6,1.12,144.0,161.0
1778072905.07,nutriclinic_minio,2.46,98.8,1.26,0.05,0.01
1778072908.15,nutriclinic_bot,947.21,2043.9,26.09,141.0,121.0
1778072908.15,nutriclinic_redis,0.24,10.7,0.14,1.02,0.44
1778072908.15,nutriclinic_postgres,0.95,90.5,1.16,144.0,161.0
1778072908.15,nutriclinic_minio,0.09,98.8,1.26,0.05,0.01
1778072911.25,nutriclinic_bot,825.81,2036.7,26.0,141.0,121.0
1778072911.25,nutriclinic_redis,0.26,10.4,0.13,1.02,0.44
1778072911.25,nutriclinic_postgres,0.03,91.0,1.16,145.0,161.0
1778072911.25,nutriclinic_minio,0.03,98.8,1.26,0.05,0.01
1778072914.36,nutriclinic_bot,849.73,2037.8,26.01,141.0,121.0
1778072914.36,nutriclinic_redis,0.82,10.4,0.13,1.02,0.44
1778072914.36,nutriclinic_postgres,3.98,92.5,1.18,145.0,161.0
1778072914.36,nutriclinic_minio,1.96,98.8,1.26,0.05,0.01
1778072917.46,nutriclinic_bot,957.5,2037.8,26.01,142.0,121.0
1778072917.46,nutriclinic_redis,0.28,10.4,0.13,1.03,0.44
1778072917.46,nutriclinic_postgres,0.0,102.7,1.31,145.0,161.0
1778072917.46,nutriclinic_minio,0.0,98.8,1.26,0.05,0.01
1778072920.54,nutriclinic_bot,901.91,2038.8,26.02,142.0,121.0
1778072920.54,nutriclinic_redis,1.02,10.4,0.13,1.03,0.44
1778072920.54,nutriclinic_postgres,1.07,91.9,1.17,145.0,161.0
1778072920.54,nutriclinic_minio,0.02,98.8,1.26,0.05,0.01
1778072923.64,nutriclinic_bot,735.8,2038.8,26.02,142.0,121.0
1778072923.64,nutriclinic_redis,0.28,10.4,0.13,1.03,0.45
1778072923.64,nutriclinic_postgres,5.71,108.1,1.38,145.0,161.0
1778072923.64,nutriclinic_minio,0.0,98.8,1.26,0.05,0.01
1778072926.73,nutriclinic_bot,799.01,2035.7,25.97,142.0,122.0
1778072926.73,nutriclinic_redis,0.28,10.7,0.14,1.03,0.45
1778072926.73,nutriclinic_postgres,1.1,112.9,1.44,146.0,161.0
1778072926.73,nutriclinic_minio,0.04,98.8,1.26,0.05,0.01
1778072929.8,nutriclinic_bot,918.82,2050.0,26.17,142.0,122.0
1778072929.8,nutriclinic_redis,0.87,10.4,0.13,1.03,0.45
1778072929.8,nutriclinic_postgres,3.03,113.6,1.45,146.0,161.0
1778072929.8,nutriclinic_minio,0.02,98.8,1.26,0.05,0.01
1778072932.89,nutriclinic_bot,798.46,2030.6,25.91,142.0,122.0
1778072932.89,nutriclinic_redis,0.37,10.4,0.13,1.03,0.45
1778072932.89,nutriclinic_postgres,3.72,118.1,1.51,146.0,161.0
