ts,container,cpu_pct,mem_mb,mem_pct,net_in_mb,net_out_mb
1778066510.39,nutriclinic_bot,202.69,1596.4,20.37,36.1,16.8
1778066510.39,nutriclinic_redis,0.78,11.1,0.14,0.23,0.12
1778066510.39,nutriclinic_postgres,0.0,32.9,0.42,15.9,50.6
1778066510.39,nutriclinic_minio,0.0,96.8,1.23,0.05,0.01
1778066513.46,nutriclinic_bot,16.52,2093.1,26.71,41.1,16.9
1778066513.46,nutriclinic_redis,0.24,10.4,0.13,0.23,0.12
1778066513.46,nutriclinic_postgres,0.34,36.5,0.47,15.9,55.5
1778066513.46,nutriclinic_minio,0.0,96.8,1.23,0.05,0.01
1778066516.55,nutriclinic_bot,651.43,2222.1,28.36,41.2,17.1
1778066516.55,nutriclinic_redis,0.25,10.4,0.13,0.23,0.12
1778066516.55,nutriclinic_postgres,0.53,40.6,0.52,16.0,55.5
1778066516.55,nutriclinic_minio,2.51,97.8,1.25,0.05,0.01
1778066519.65,nutriclinic_bot,424.92,2227.2,28.43,41.2,17.2
1778066519.65,nutriclinic_redis,0.24,10.6,0.14,0.23,0.12
1778066519.65,nutriclinic_postgres,0.57,40.7,0.52,16.1,55.5
1778066519.65,nutriclinic_minio,0.01,96.8,1.24,0.05,0.01
1778066522.73,nutriclinic_bot,977.37,2226.2,28.41,41.3,17.4
1778066522.73,nutriclinic_redis,0.24,10.4,0.13,0.24,0.12
1778066522.73,nutriclinic_postgres,0.71,48.0,0.61,16.3,55.5
1778066522.73,nutriclinic_minio,0.02,96.8,1.24,0.05,0.01
1778066525.81,nutriclinic_bot,848.68,2226.2,28.41,41.4,17.6
1778066525.81,nutriclinic_redis,0.9,10.4,0.13,0.24,0.12
1778066525.81,nutriclinic_postgres,0.16,50.2,0.64,16.5,55.5
1778066525.81,nutriclinic_minio,0.0,96.8,1.24,0.05,0.01
1778066528.9,nutriclinic_bot,897.58,2224.1,28.39,41.5,17.8
1778066528.9,nutriclinic_redis,0.26,10.4,0.13,0.24,0.12
1778066528.9,nutriclinic_postgres,0.54,50.2,0.64,16.7,55.6
1778066528.9,nutriclinic_minio,0.01,96.8,1.24,0.05,0.01
