ts,container,cpu_pct,mem_mb,mem_pct,net_in_mb,net_out_mb
1778066763.79,nutriclinic_bot,198.12,1557.5,19.88,46.4,30.7
1778066763.79,nutriclinic_redis,0.22,10.4,0.13,0.3,0.15
1778066763.79,nutriclinic_postgres,2.11,33.0,0.42,27.8,56.3
1778066763.79,nutriclinic_minio,1.92,97.3,1.24,0.05,0.01
1778066766.86,nutriclinic_bot,101.69,2120.7,27.06,51.4,30.8
1778066766.86,nutriclinic_redis,0.24,10.6,0.14,0.3,0.15
1778066766.86,nutriclinic_postgres,0.45,36.5,0.47,27.9,61.3
1778066766.86,nutriclinic_minio,0.0,96.9,1.24,0.05,0.01
1778066769.95,nutriclinic_bot,878.07,2239.5,28.58,51.6,31.0
1778066769.95,nutriclinic_redis,0.25,10.4,0.13,0.3,0.15
1778066769.95,nutriclinic_postgres,2.64,41.1,0.52,28.0,61.3
1778066769.95,nutriclinic_minio,0.0,96.9,1.24,0.05,0.01
1778066773.04,nutriclinic_bot,854.03,2229.2,28.45,51.6,31.3
1778066773.04,nutriclinic_redis,1.0,10.6,0.14,0.3,0.15
1778066773.04,nutriclinic_postgres,0.08,63.3,0.81,28.3,61.3
1778066773.04,nutriclinic_minio,0.04,96.9,1.24,0.05,0.01
1778066776.14,nutriclinic_bot,802.23,2246.7,28.68,51.6,31.4
1778066776.14,nutriclinic_redis,0.26,10.4,0.13,0.3,0.15
1778066776.14,nutriclinic_postgres,0.17,61.9,0.79,28.4,61.3
1778066776.14,nutriclinic_minio,0.0,96.9,1.24,0.05,0.01
1778066779.24,nutriclinic_bot,596.49,2239.5,28.58,51.8,31.6
1778066779.24,nutriclinic_redis,0.32,10.6,0.14,0.3,0.15
1778066779.24,nutriclinic_postgres,3.57,52.4,0.67,28.6,61.3
1778066779.24,nutriclinic_minio,2.59,96.9,1.24,0.05,0.01
1778066782.33,nutriclinic_bot,819.71,2238.5,28.57,51.8,31.9
1778066782.33,nutriclinic_redis,0.91,10.4,0.13,0.31,0.15
1778066782.33,nutriclinic_postgres,1.36,64.9,0.83,28.8,61.4
1778066782.33,nutriclinic_minio,0.0,96.9,1.24,0.05,0.01
1778066785.42,nutriclinic_bot,870.7,2235.4,28.53,51.9,32.0
1778066785.42,nutriclinic_redis,0.24,10.4,0.13,0.31,0.15
1778066785.42,nutriclinic_postgres,0.4,47.1,0.6,28.9,61.4
1778066785.42,nutriclinic_minio,0.02,96.9,1.24,0.05,0.01
1778066788.52,nutriclinic_bot,934.77,2242.6,28.61,52.0,32.3
1778066788.52,nutriclinic_redis,0.23,10.4,0.13,0.31,0.15
1778066788.52,nutriclinic_postgres,0.0,62.8,0.8,29.1,61.4
1778066788.52,nutriclinic_minio,0.38,96.9,1.24,0.05,0.01
