ts,container,cpu_pct,mem_mb,mem_pct,net_in_mb,net_out_mb
1778068312.69,nutriclinic_bot,206.51,1425.4,18.19,16.0,2.78
1778068312.69,nutriclinic_redis,0.24,10.6,0.14,0.39,0.19
1778068312.69,nutriclinic_postgres,0.0,32.9,0.42,43.4,76.9
1778068312.69,nutriclinic_minio,0.02,97.1,1.24,0.05,0.01
1778068315.77,nutriclinic_bot,13.84,1914.9,24.43,20.9,2.82
1778068315.77,nutriclinic_redis,0.49,10.7,0.14,0.39,0.19
1778068315.77,nutriclinic_postgres,0.27,36.5,0.47,43.4,81.8
1778068315.77,nutriclinic_minio,0.0,97.1,1.24,0.05,0.01
1778068318.85,nutriclinic_bot,1.13,2040.8,26.05,20.9,2.88
1778068318.85,nutriclinic_redis,0.81,10.7,0.14,0.39,0.19
1778068318.85,nutriclinic_postgres,0.18,38.8,0.49,43.5,81.8
1778068318.85,nutriclinic_minio,0.14,97.1,1.24,0.05,0.01
1778068321.94,nutriclinic_bot,465.2,2052.1,26.19,21.0,2.96
1778068321.94,nutriclinic_redis,0.55,10.4,0.13,0.39,0.19
1778068321.94,nutriclinic_postgres,0.24,40.7,0.52,43.5,81.8
1778068321.94,nutriclinic_minio,0.0,97.1,1.24,0.05,0.01
1778068325.03,nutriclinic_bot,398.89,2060.3,26.3,21.0,3.06
1778068325.03,nutriclinic_redis,0.81,10.4,0.13,0.39,0.19
1778068325.03,nutriclinic_postgres,2.13,40.7,0.52,43.6,81.8
1778068325.03,nutriclinic_minio,1.86,97.1,1.24,0.05,0.01
1778068328.13,nutriclinic_bot,242.35,2051.1,26.18,21.0,3.13
1778068328.13,nutriclinic_redis,0.52,10.7,0.14,0.39,0.19
1778068328.13,nutriclinic_postgres,0.0,40.7,0.52,43.7,81.8
1778068328.13,nutriclinic_minio,0.02,97.1,1.24,0.05,0.01
1778068331.23,nutriclinic_bot,1.69,2051.1,26.18,21.0,3.14
1778068331.23,nutriclinic_redis,0.27,10.4,0.13,0.39,0.19
1778068331.23,nutriclinic_postgres,0.17,40.7,0.52,43.7,81.8
1778068331.23,nutriclinic_minio,0.02,97.1,1.24,0.05,0.01
1778068334.35,nutriclinic_bot,461.54,2052.1,26.19,21.1,3.25
1778068334.35,nutriclinic_redis,0.43,10.7,0.14,0.39,0.19
1778068334.35,nutriclinic_postgres,0.18,40.7,0.52,43.8,81.8
1778068334.35,nutriclinic_minio,0.0,97.1,1.24,0.05,0.01
1778068337.44,nutriclinic_bot,286.21,2054.1,26.21,21.1,3.32
1778068337.44,nutriclinic_redis,0.22,10.4,0.13,0.4,0.19
1778068337.44,nutriclinic_postgres,0.04,40.7,0.52,43.9,81.8
1778068337.44,nutriclinic_minio,0.0,97.1,1.24,0.05,0.01
1778068340.52,nutriclinic_bot,0.36,2052.1,26.19,21.1,3.33
1778068340.52,nutriclinic_redis,1.2,10.7,0.14,0.4,0.19
1778068340.52,nutriclinic_postgres,1.88,40.8,0.52,43.9,81.8
1778068340.52,nutriclinic_minio,1.73,97.4,1.24,0.05,0.01
1778068343.61,nutriclinic_bot,479.2,2052.1,26.19,21.1,3.37
1778068343.61,nutriclinic_redis,0.25,10.7,0.14,0.4,0.19
1778068343.61,nutriclinic_postgres,0.09,40.8,0.52,43.9,81.8
1778068343.61,nutriclinic_minio,0.04,97.1,1.24,0.05,0.01
1778068346.71,nutriclinic_bot,455.79,2053.1,26.2,21.1,3.45
1778068346.71,nutriclinic_redis,0.37,10.4,0.13,0.4,0.19
