ts,container,cpu_pct,mem_mb,mem_pct,net_in_mb,net_out_mb
1778066267.23,nutriclinic_bot,207.39,1471.5,18.78,27.5,7.14
1778066267.23,nutriclinic_redis,0.22,10.6,0.14,0.18,0.1
1778066267.23,nutriclinic_postgres,0.0,32.9,0.42,7.52,45.3
1778066267.23,nutriclinic_minio,0.02,96.5,1.23,0.05,0.01
1778066270.3,nutriclinic_bot,21.69,1994.8,25.46,32.4,7.18
1778066270.3,nutriclinic_redis,0.22,10.9,0.14,0.18,0.1
1778066270.3,nutriclinic_postgres,2.19,35.1,0.45,7.56,50.2
1778066270.3,nutriclinic_minio,2.04,96.8,1.23,0.05,0.01
1778066273.36,nutriclinic_bot,883.54,2145.3,27.37,32.5,7.32
1778066273.36,nutriclinic_redis,0.27,10.4,0.13,0.18,0.1
1778066273.36,nutriclinic_postgres,0.85,42.5,0.54,7.67,50.2
1778066273.36,nutriclinic_minio,0.03,96.6,1.23,0.05,0.01
1778066276.43,nutriclinic_bot,940.0,2140.2,27.31,32.6,7.49
1778066276.43,nutriclinic_redis,0.26,10.4,0.13,0.18,0.1
1778066276.43,nutriclinic_postgres,0.16,42.6,0.54,7.82,50.2
1778066276.43,nutriclinic_minio,0.02,96.6,1.23,0.05,0.01
1778066279.51,nutriclinic_bot,580.38,2163.7,27.61,32.6,7.67
1778066279.51,nutriclinic_redis,0.8,10.4,0.13,0.19,0.1
1778066279.51,nutriclinic_postgres,2.1,44.7,0.57,7.99,50.2
1778066279.51,nutriclinic_minio,1.93,96.6,1.23,0.05,0.01
1778066282.6,nutriclinic_bot,587.88,2172.9,27.73,32.7,7.82
1778066282.6,nutriclinic_redis,0.29,10.4,0.13,0.19,0.1
1778066282.6,nutriclinic_postgres,0.84,48.5,0.62,8.12,50.2
1778066282.6,nutriclinic_minio,0.0,96.6,1.23,0.05,0.01
1778066285.67,nutriclinic_bot,765.37,2165.8,27.64,32.8,8.06
1778066285.67,nutriclinic_redis,0.25,10.4,0.13,0.19,0.1
1778066285.67,nutriclinic_postgres,0.38,52.2,0.67,8.36,50.3
1778066285.67,nutriclinic_minio,0.0,96.6,1.23,0.05,0.01
1778066288.77,nutriclinic_bot,853.42,2165.8,27.64,32.9,8.33
1778066288.77,nutriclinic_redis,0.23,10.4,0.13,0.19,0.1
1778066288.77,nutriclinic_postgres,0.12,52.4,0.67,8.57,50.3
1778066288.77,nutriclinic_minio,0.05,96.6,1.23,0.05,0.01
1778066291.84,nutriclinic_bot,882.33,2179.1,27.81,32.9,8.45
1778066291.84,nutriclinic_redis,0.27,10.4,0.13,0.19,0.1
1778066291.84,nutriclinic_postgres,0.12,52.5,0.67,8.67,50.3
1778066291.84,nutriclinic_minio,0.01,96.6,1.23,0.05,0.01
1778066294.92,nutriclinic_bot,953.25,2170.9,27.71,33.0,8.63
1778066294.92,nutriclinic_redis,0.96,10.4,0.13,0.19,0.1
1778066294.92,nutriclinic_postgres,2.46,52.5,0.67,8.82,50.3
1778066294.92,nutriclinic_minio,2.06,96.6,1.23,0.05,0.01
1778066298.01,nutriclinic_bot,636.42,2161.7,27.58,33.0,8.71
1778066298.01,nutriclinic_redis,0.23,10.4,0.13,0.19,0.1
1778066298.01,nutriclinic_postgres,0.14,52.5,0.67,8.88,50.3
1778066298.01,nutriclinic_minio,0.01,96.6,1.23,0.05,0.01
1778066301.09,nutriclinic_bot,312.34,2162.7,27.6,33.1,8.88
1778066301.09,nutriclinic_redis,0.3,10.4,0.13,0.19,0.1
1778066301.09,nutriclinic_postgres,0.0,52.5,0.67,9.04,50.3
1778066301.09,nutriclinic_minio,0.02,96.6,1.23,0.05,0.01
1778066304.16,nutriclinic_bot,679.09,2187.3,27.92,33.1,9.01
1778066304.16,nutriclinic_redis,0.89,10.4,0.13,0.19,0.1
1778066304.16,nutriclinic_postgres,0.07,52.5,0.67,9.19,50.3
1778066304.16,nutriclinic_minio,0.01,96.6,1.23,0.05,0.01
1778066307.23,nutriclinic_bot,829.22,2162.7,27.6,33.2,9.2
1778066307.23,nutriclinic_redis,0.26,10.4,0.13,0.19,0.1
1778066307.23,nutriclinic_postgres,0.14,52.5,0.67,9.29,50.3
1778066307.23,nutriclinic_minio,0.1,96.6,1.23,0.05,0.01
1778066310.31,nutriclinic_bot,714.89,2163.7,27.61,33.3,9.35
1778066310.31,nutriclinic_redis,0.25,10.4,0.13,0.19,0.1
1778066310.31,nutriclinic_postgres,0.08,52.5,0.67,9.41,50.3
1778066310.31,nutriclinic_minio,1.93,96.6,1.23,0.05,0.01
1778066313.4,nutriclinic_bot,651.73,2196.5,28.04,33.3,9.45
1778066313.4,nutriclinic_redis,0.31,10.6,0.14,0.2,0.1
1778066313.4,nutriclinic_postgres,0.16,52.5,0.67,9.57,50.3
1778066313.4,nutriclinic_minio,0.01,96.6,1.23,0.05,0.01
1778066316.49,nutriclinic_bot,497.57,2198.5,28.06,33.4,9.59
1778066316.49,nutriclinic_redis,0.24,10.4,0.13,0.2,0.1
1778066316.49,nutriclinic_postgres,2.06,52.5,0.67,9.66,50.3
1778066316.49,nutriclinic_minio,2.18,96.6,1.23,0.05,0.01
1778066319.57,nutriclinic_bot,884.23,2197.5,28.05,33.4,9.74
1778066319.57,nutriclinic_redis,0.81,10.6,0.14,0.2,0.1
1778066319.57,nutriclinic_postgres,0.13,52.5,0.67,9.78,50.3
1778066319.57,nutriclinic_minio,0.01,96.6,1.23,0.05,0.01
1778066322.65,nutriclinic_bot,808.59,2203.6,28.12,33.5,9.92
1778066322.65,nutriclinic_redis,0.29,10.6,0.14,0.2,0.1
1778066322.65,nutriclinic_postgres,0.08,52.5,0.67,9.94,50.3
1778066322.65,nutriclinic_minio,0.09,96.7,1.23,0.05,0.01
1778066325.74,nutriclinic_bot,816.23,2218.0,28.31,33.5,10.1
1778066325.74,nutriclinic_redis,0.27,10.6,0.14,0.2,0.1
1778066325.74,nutriclinic_postgres,0.08,52.5,0.67,10.0,50.3
1778066325.74,nutriclinic_minio,2.18,96.7,1.23,0.05,0.01
1778066328.82,nutriclinic_bot,545.08,2204.7,28.13,33.6,10.2
1778066328.82,nutriclinic_redis,0.31,10.4,0.13,0.2,0.1
1778066328.82,nutriclinic_postgres,0.14,50.4,0.64,10.2,50.3
1778066328.82,nutriclinic_minio,0.03,96.7,1.23,0.05,0.01
1778066331.9,nutriclinic_bot,645.28,2229.2,28.44,33.7,10.5
1778066331.9,nutriclinic_redis,0.32,10.4,0.13,0.2,0.11
1778066331.9,nutriclinic_postgres,0.35,50.9,0.65,10.4,50.3
1778066331.9,nutriclinic_minio,0.0,96.7,1.23,0.05,0.01
1778066334.98,nutriclinic_bot,550.73,2227.2,28.43,33.7,10.7
1778066334.98,nutriclinic_redis,0.3,10.4,0.13,0.2,0.11
1778066334.98,nutriclinic_postgres,2.4,52.5,0.67,10.6,50.3
1778066334.98,nutriclinic_minio,1.84,96.7,1.23,0.05,0.01
1778066338.11,nutriclinic_bot,496.62,2184.2,27.87,33.8,10.8
1778066338.11,nutriclinic_redis,0.34,10.6,0.14,0.2,0.11
1778066338.11,nutriclinic_postgres,0.53,52.5,0.67,10.7,50.4
1778066338.11,nutriclinic_minio,2.94,96.8,1.23,0.05,0.01
1778066341.19,nutriclinic_bot,310.67,2190.3,27.95,33.8,10.9
1778066341.19,nutriclinic_redis,0.22,10.6,0.14,0.2,0.11
1778066341.19,nutriclinic_postgres,0.03,52.5,0.67,10.8,50.4
1778066341.19,nutriclinic_minio,0.02,96.8,1.23,0.05,0.01
1778066344.25,nutriclinic_bot,783.21,2205.7,28.15,33.9,11.1
1778066344.25,nutriclinic_redis,0.96,10.6,0.14,0.2,0.11
1778066344.25,nutriclinic_postgres,0.28,52.5,0.67,11.0,50.4
1778066344.25,nutriclinic_minio,0.01,96.7,1.23,0.05,0.01
1778066347.35,nutriclinic_bot,797.48,2210.8,28.22,34.0,11.3
1778066347.35,nutriclinic_redis,0.23,10.6,0.14,0.2,0.11
1778066347.35,nutriclinic_postgres,0.11,52.5,0.67,11.1,50.4
1778066347.35,nutriclinic_minio,0.0,96.8,1.23,0.05,0.01
1778066350.44,nutriclinic_bot,514.98,2212.9,28.24,34.0,11.3
1778066350.44,nutriclinic_redis,0.24,10.4,0.13,0.21,0.11
1778066350.44,nutriclinic_postgres,1.95,52.5,0.67,11.2,50.4
1778066350.44,nutriclinic_minio,2.02,96.8,1.23,0.05,0.01
1778066353.55,nutriclinic_bot,874.23,2221.1,28.34,34.1,11.4
1778066353.55,nutriclinic_redis,0.29,10.4,0.13,0.21,0.11
1778066353.55,nutriclinic_postgres,0.16,52.5,0.67,11.3,50.4
1778066353.55,nutriclinic_minio,0.1,96.8,1.23,0.05,0.01
1778066356.61,nutriclinic_bot,804.26,2223.1,28.37,34.1,11.6
1778066356.61,nutriclinic_redis,0.26,10.6,0.14,0.21,0.11
1778066356.61,nutriclinic_postgres,0.77,52.6,0.67,11.4,50.4
1778066356.61,nutriclinic_minio,0.02,96.8,1.23,0.05,0.01
1778066359.69,nutriclinic_bot,965.06,2227.2,28.43,34.2,11.8
1778066359.69,nutriclinic_redis,0.89,10.6,0.14,0.21,0.11
1778066359.69,nutriclinic_postgres,0.1,52.6,0.67,11.6,50.4
1778066359.69,nutriclinic_minio,0.01,96.7,1.23,0.05,0.01
1778066362.78,nutriclinic_bot,630.43,2205.7,28.14,34.2,11.9
1778066362.78,nutriclinic_redis,0.22,10.4,0.13,0.21,0.11
1778066362.78,nutriclinic_postgres,0.08,52.6,0.67,11.7,50.4
1778066362.78,nutriclinic_minio,0.02,96.8,1.23,0.05,0.01
1778066365.85,nutriclinic_bot,971.69,2202.6,28.11,34.3,12.1
1778066365.85,nutriclinic_redis,0.27,10.4,0.13,0.21,0.11
1778066365.85,nutriclinic_postgres,2.37,52.6,0.67,11.8,50.4
1778066365.85,nutriclinic_minio,2.11,96.8,1.23,0.05,0.01
1778066368.93,nutriclinic_bot,599.25,2227.2,28.42,34.4,12.2
1778066368.93,nutriclinic_redis,0.35,10.4,0.13,0.21,0.11
1778066368.93,nutriclinic_postgres,0.5,52.6,0.67,11.9,50.4
1778066368.93,nutriclinic_minio,0.03,96.8,1.23,0.05,0.01
1778066372.02,nutriclinic_bot,632.54,2225.2,28.39,34.4,12.4
1778066372.02,nutriclinic_redis,0.24,10.4,0.13,0.21,0.11
1778066372.02,nutriclinic_postgres,0.09,52.6,0.67,12.1,50.4
1778066372.02,nutriclinic_minio,0.0,96.8,1.23,0.05,0.01
1778066375.09,nutriclinic_bot,980.07,2228.2,28.43,34.5,12.6
1778066375.09,nutriclinic_redis,0.95,10.6,0.14,0.21,0.11
1778066375.09,nutriclinic_postgres,0.09,52.6,0.67,12.2,50.4
1778066375.09,nutriclinic_minio,0.02,96.7,1.23,0.05,0.01
1778066378.18,nutriclinic_bot,898.55,2213.9,28.25,34.5,12.6
1778066378.18,nutriclinic_redis,0.28,10.4,0.13,0.21,0.11
1778066378.18,nutriclinic_postgres,0.07,52.6,0.67,12.4,50.4
1778066378.18,nutriclinic_minio,0.02,96.7,1.23,0.05,0.01
1778066381.26,nutriclinic_bot,752.0,2199.6,28.07,34.6,12.9
1778066381.26,nutriclinic_redis,0.25,10.4,0.13,0.21,0.11
1778066381.26,nutriclinic_postgres,2.53,52.6,0.67,12.5,50.4
1778066381.26,nutriclinic_minio,2.1,96.8,1.23,0.05,0.01
1778066384.37,nutriclinic_bot,961.14,2204.7,28.14,34.6,13.0
1778066384.37,nutriclinic_redis,0.36,10.4,0.13,0.21,0.11
1778066384.37,nutriclinic_postgres,0.09,52.6,0.67,12.6,50.4
1778066384.37,nutriclinic_minio,0.01,96.7,1.23,0.05,0.01
1778066387.69,nutriclinic_bot,834.32,2204.7,28.14,34.7,13.2
1778066387.69,nutriclinic_redis,0.27,10.4,0.13,0.21,0.11
1778066387.69,nutriclinic_postgres,0.21,53.7,0.69,12.8,50.4
1778066387.69,nutriclinic_minio,0.0,96.8,1.23,0.05,0.01
1778066390.76,nutriclinic_bot,182.54,2201.6,28.1,34.7,13.3
1778066390.76,nutriclinic_redis,0.97,10.4,0.13,0.21,0.11
1778066390.76,nutriclinic_postgres,2.08,52.6,0.67,12.9,50.4
1778066390.76,nutriclinic_minio,1.8,97.0,1.24,0.05,0.01
1778066393.85,nutriclinic_bot,494.18,2205.7,28.15,34.8,13.4
1778066393.85,nutriclinic_redis,0.31,10.4,0.13,0.22,0.11
1778066393.85,nutriclinic_postgres,1.11,52.6,0.67,13.0,50.5
1778066393.85,nutriclinic_minio,0.01,96.7,1.23,0.05,0.01
1778066396.94,nutriclinic_bot,815.79,2202.6,28.1,34.9,13.7
1778066396.94,nutriclinic_redis,0.28,10.4,0.13,0.22,0.11
1778066396.94,nutriclinic_postgres,0.82,57.5,0.73,13.2,50.5
1778066396.94,nutriclinic_minio,0.67,96.8,1.24,0.05,0.01
1778066400.02,nutriclinic_bot,864.48,2212.9,28.24,35.0,13.8
1778066400.02,nutriclinic_redis,0.98,10.4,0.13,0.22,0.11
1778066400.02,nutriclinic_postgres,0.44,50.2,0.64,13.3,50.5
1778066400.02,nutriclinic_minio,0.0,96.8,1.23,0.05,0.01
1778066403.11,nutriclinic_bot,695.83,2207.7,28.17,35.0,14.0
1778066403.11,nutriclinic_redis,0.32,10.4,0.13,0.22,0.11
1778066403.11,nutriclinic_postgres,0.6,51.0,0.65,13.5,50.5
1778066403.11,nutriclinic_minio,0.02,96.8,1.23,0.05,0.01
1778066406.18,nutriclinic_bot,1.69,2206.7,28.17,35.0,14.0
1778066406.18,nutriclinic_redis,0.23,10.6,0.14,0.22,0.11
1778066406.18,nutriclinic_postgres,1.97,52.5,0.67,13.5,50.5
1778066406.18,nutriclinic_minio,1.67,96.8,1.24,0.05,0.01
1778066409.26,nutriclinic_bot,516.17,2205.7,28.15,35.1,14.2
1778066409.26,nutriclinic_redis,0.25,10.4,0.13,0.22,0.11
1778066409.26,nutriclinic_postgres,0.1,52.5,0.67,13.6,50.5
1778066409.26,nutriclinic_minio,0.03,96.8,1.23,0.05,0.01
1778066412.35,nutriclinic_bot,790.91,2207.7,28.18,35.2,14.3
1778066412.35,nutriclinic_redis,0.26,10.4,0.13,0.22,0.11
1778066412.35,nutriclinic_postgres,0.11,52.5,0.67,13.7,50.5
1778066412.35,nutriclinic_minio,0.05,96.8,1.23,0.05,0.01
1778066415.44,nutriclinic_bot,1.47,2206.7,28.17,35.2,14.4
1778066415.44,nutriclinic_redis,0.95,10.9,0.14,0.22,0.11
1778066415.44,nutriclinic_postgres,0.06,52.5,0.67,13.8,50.5
1778066415.44,nutriclinic_minio,0.02,96.8,1.23,0.05,0.01
1778066418.54,nutriclinic_bot,515.74,2220.0,28.34,35.2,14.6
1778066418.54,nutriclinic_redis,0.24,10.4,0.13,0.22,0.11
1778066418.54,nutriclinic_postgres,0.08,52.5,0.67,14.0,50.5
1778066418.54,nutriclinic_minio,0.02,96.8,1.23,0.05,0.01
1778066421.62,nutriclinic_bot,913.93,2204.7,28.13,35.3,14.8
1778066421.62,nutriclinic_redis,0.26,10.4,0.13,0.22,0.11
1778066421.62,nutriclinic_postgres,0.32,52.5,0.67,14.1,50.5
1778066421.62,nutriclinic_minio,1.87,96.8,1.24,0.05,0.01
1778066424.71,nutriclinic_bot,834.64,2197.5,28.04,35.4,14.9
1778066424.71,nutriclinic_redis,0.85,10.8,0.14,0.22,0.11
1778066424.71,nutriclinic_postgres,0.24,52.8,0.67,14.2,50.5
1778066424.71,nutriclinic_minio,0.03,96.8,1.24,0.05,0.01
1778066427.8,nutriclinic_bot,953.51,2211.8,28.23,35.5,15.1
1778066427.8,nutriclinic_redis,0.28,10.4,0.13,0.22,0.11
