ts,container,cpu_pct,mem_mb,mem_pct,net_in_mb,net_out_mb
1778070492.87,nutriclinic_bot,213.77,1420.3,18.13,69.8,52.4
1778070492.87,nutriclinic_redis,0.19,10.7,0.14,0.65,0.29
1778070492.87,nutriclinic_postgres,0.0,32.9,0.42,86.2,114.0
1778070492.87,nutriclinic_minio,0.05,98.5,1.26,0.05,0.01
1778070495.94,nutriclinic_bot,15.33,1906.7,24.33,74.8,52.5
1778070495.94,nutriclinic_redis,1.0,10.7,0.14,0.65,0.3
1778070495.94,nutriclinic_postgres,0.0,34.7,0.44,86.2,119.0
1778070495.94,nutriclinic_minio,2.25,98.5,1.26,0.05,0.01
1778070499.02,nutriclinic_bot,507.45,2043.9,26.08,74.8,52.6
1778070499.02,nutriclinic_redis,0.24,10.4,0.13,0.65,0.3
1778070499.02,nutriclinic_postgres,0.08,40.6,0.52,86.3,119.0
1778070499.02,nutriclinic_minio,0.04,98.5,1.26,0.05,0.01
1778070502.12,nutriclinic_bot,871.36,2039.8,26.03,74.9,52.8
1778070502.12,nutriclinic_redis,0.32,10.7,0.14,0.65,0.3
1778070502.12,nutriclinic_postgres,2.74,40.7,0.52,86.4,119.0
1778070502.12,nutriclinic_minio,0.0,98.5,1.26,0.05,0.01
1778070505.21,nutriclinic_bot,901.1,2041.9,26.06,75.0,52.9
1778070505.21,nutriclinic_redis,0.44,10.7,0.14,0.65,0.3
1778070505.21,nutriclinic_postgres,0.4,43.9,0.56,86.6,119.0
1778070505.21,nutriclinic_minio,0.03,98.5,1.26,0.05,0.01
1778070508.31,nutriclinic_bot,296.05,2030.6,25.92,75.0,53.1
1778070508.31,nutriclinic_redis,0.37,10.7,0.14,0.66,0.3
1778070508.31,nutriclinic_postgres,1.13,45.9,0.59,86.7,119.0
1778070508.31,nutriclinic_minio,0.0,98.5,1.26,0.05,0.01
1778070511.41,nutriclinic_bot,895.52,2041.9,26.05,75.1,53.3
1778070511.41,nutriclinic_redis,1.17,10.4,0.13,0.66,0.3
1778070511.41,nutriclinic_postgres,0.56,49.5,0.63,86.8,119.0
1778070511.41,nutriclinic_minio,2.28,98.5,1.26,0.05,0.01
1778070514.51,nutriclinic_bot,535.14,2038.8,26.02,75.1,53.4
1778070514.51,nutriclinic_redis,0.3,10.4,0.13,0.66,0.3
1778070514.51,nutriclinic_postgres,0.73,46.1,0.59,87.0,119.0
1778070514.51,nutriclinic_minio,0.02,98.5,1.26,0.05,0.01
1778070517.62,nutriclinic_bot,899.91,2031.6,25.93,75.2,53.6
1778070517.62,nutriclinic_redis,0.3,10.4,0.13,0.66,0.3
1778070517.62,nutriclinic_postgres,0.0,50.6,0.65,87.2,119.0
1778070517.62,nutriclinic_minio,0.0,98.5,1.26,0.05,0.01
1778070520.75,nutriclinic_bot,689.32,2038.8,26.02,75.3,53.8
1778070520.75,nutriclinic_redis,0.35,10.4,0.13,0.66,0.3
1778070520.75,nutriclinic_postgres,3.26,52.3,0.67,87.3,119.0
1778070520.75,nutriclinic_minio,2.83,98.5,1.26,0.05,0.01
1778070523.84,nutriclinic_bot,786.92,2025.5,25.85,75.3,53.9
1778070523.84,nutriclinic_redis,0.3,10.7,0.14,0.66,0.3
1778070523.84,nutriclinic_postgres,0.18,52.4,0.67,87.4,119.0
1778070523.84,nutriclinic_minio,0.02,98.5,1.26,0.05,0.01
1778070526.95,nutriclinic_bot,921.71,2033.7,25.96,75.4,54.1
1778070526.95,nutriclinic_redis,0.88,10.4,0.13,0.66,0.3
1778070526.95,nutriclinic_postgres,0.24,52.4,0.67,87.6,119.0
1778070526.95,nutriclinic_minio,4.3,98.5,1.26,0.05,0.01
