ts,container,cpu_pct,mem_mb,mem_pct,net_in_mb,net_out_mb
1778070252.58,nutriclinic_bot,204.51,1275.9,16.28,63.2,47.9
1778070252.58,nutriclinic_redis,0.24,10.7,0.14,0.63,0.29
1778070252.58,nutriclinic_postgres,0.0,32.9,0.42,82.2,109.0
1778070252.58,nutriclinic_minio,0.06,98.5,1.26,0.05,0.01
1778070255.66,nutriclinic_bot,12.4,1899.5,24.24,68.1,48.0
1778070255.66,nutriclinic_redis,0.25,10.4,0.13,0.63,0.29
1778070255.66,nutriclinic_postgres,0.1,34.8,0.44,82.3,113.0
1778070255.66,nutriclinic_minio,0.02,98.5,1.26,0.05,0.01
1778070258.74,nutriclinic_bot,454.83,2032.6,25.95,68.2,48.1
1778070258.74,nutriclinic_redis,0.28,10.7,0.14,0.63,0.29
1778070258.74,nutriclinic_postgres,2.45,36.8,0.47,82.4,113.0
1778070258.74,nutriclinic_minio,2.08,98.5,1.26,0.05,0.01
1778070261.97,nutriclinic_bot,463.82,2031.6,25.93,68.2,48.1
1778070261.97,nutriclinic_redis,0.2,10.4,0.13,0.63,0.29
1778070261.97,nutriclinic_postgres,0.09,36.8,0.47,82.4,113.0
1778070261.97,nutriclinic_minio,0.0,98.5,1.26,0.05,0.01
1778070265.06,nutriclinic_bot,298.68,2032.6,25.94,68.2,48.2
1778070265.06,nutriclinic_redis,0.26,10.4,0.13,0.63,0.29
1778070265.06,nutriclinic_postgres,0.0,36.9,0.47,82.5,113.0
1778070265.06,nutriclinic_minio,0.01,98.5,1.26,0.05,0.01
1778070268.15,nutriclinic_bot,2.25,2032.6,25.94,68.2,48.3
1778070268.15,nutriclinic_redis,0.39,10.4,0.13,0.63,0.29
1778070268.15,nutriclinic_postgres,2.18,36.9,0.47,82.6,113.0
1778070268.15,nutriclinic_minio,2.08,98.5,1.26,0.05,0.01
1778070271.21,nutriclinic_bot,352.25,2033.7,25.95,68.3,48.4
1778070271.21,nutriclinic_redis,0.23,10.4,0.13,0.63,0.29
1778070271.21,nutriclinic_postgres,0.09,36.9,0.47,82.6,113.0
1778070271.21,nutriclinic_minio,0.02,98.5,1.26,0.05,0.01
1778070274.29,nutriclinic_bot,257.93,2033.7,25.95,68.3,48.5
1778070274.29,nutriclinic_redis,0.99,10.5,0.13,0.63,0.29
1778070274.29,nutriclinic_postgres,0.0,36.9,0.47,82.7,113.0
1778070274.29,nutriclinic_minio,0.0,98.5,1.26,0.05,0.01
1778070277.4,nutriclinic_bot,342.54,2029.6,25.9,68.3,48.5
1778070277.4,nutriclinic_redis,0.49,10.4,0.13,0.63,0.29
1778070277.4,nutriclinic_postgres,0.08,36.9,0.47,82.7,113.0
1778070277.4,nutriclinic_minio,0.03,98.5,1.26,0.05,0.01
1778070280.47,nutriclinic_bot,810.43,2039.8,26.03,68.4,48.7
1778070280.47,nutriclinic_redis,0.23,10.4,0.13,0.63,0.29
1778070280.47,nutriclinic_postgres,0.82,46.2,0.59,82.9,113.0
