ts,container,cpu_pct,mem_mb,mem_pct,net_in_mb,net_out_mb
1778056696.23,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056696.23,nutriclinic_redis,0.31,6.6,0.08,0.05,0.07
1778056696.23,nutriclinic_postgres,0.0,47.9,0.61,1.8,24.9
1778056696.23,nutriclinic_minio,0.02,137.5,1.75,0.09,0.02
1778056699.31,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056699.31,nutriclinic_redis,0.19,6.6,0.08,0.05,0.07
1778056699.31,nutriclinic_postgres,0.0,49.7,0.63,1.84,29.8
1778056699.31,nutriclinic_minio,0.0,137.5,1.75,0.09,0.02
1778056702.41,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056702.41,nutriclinic_redis,0.27,6.4,0.08,0.05,0.07
1778056702.41,nutriclinic_postgres,3.46,51.6,0.66,1.84,29.8
1778056702.41,nutriclinic_minio,0.09,137.5,1.75,0.09,0.02
1778056705.48,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056705.48,nutriclinic_redis,0.22,6.4,0.08,0.05,0.07
1778056705.48,nutriclinic_postgres,0.0,53.5,0.68,1.88,29.8
1778056705.48,nutriclinic_minio,0.03,137.5,1.75,0.09,0.02
1778056708.59,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056708.59,nutriclinic_redis,0.67,6.6,0.08,0.05,0.07
1778056708.59,nutriclinic_postgres,0.05,55.7,0.71,1.92,29.8
1778056708.59,nutriclinic_minio,0.0,137.5,1.75,0.09,0.02
1778056711.68,nutriclinic_bot,0.02,1608.7,20.53,5.19,0.31
1778056711.68,nutriclinic_redis,0.74,6.4,0.08,0.05,0.07
1778056711.68,nutriclinic_postgres,0.0,55.7,0.71,1.95,29.8
1778056711.68,nutriclinic_minio,0.07,137.5,1.75,0.09,0.02
1778056714.8,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056714.8,nutriclinic_redis,1.87,6.8,0.09,0.05,0.07
1778056714.8,nutriclinic_postgres,0.0,55.7,0.71,1.99,29.8
1778056714.8,nutriclinic_minio,0.01,137.5,1.75,0.09,0.02
1778056717.86,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056717.86,nutriclinic_redis,0.25,6.4,0.08,0.05,0.07
1778056717.86,nutriclinic_postgres,1.86,56.0,0.72,2.08,29.8
1778056717.86,nutriclinic_minio,1.64,137.6,1.76,0.09,0.02
1778056720.94,nutriclinic_bot,0.31,1608.7,20.53,5.19,0.31
1778056720.94,nutriclinic_redis,0.58,6.6,0.08,0.05,0.07
1778056720.94,nutriclinic_postgres,0.01,55.7,0.71,2.08,29.8
1778056720.94,nutriclinic_minio,0.07,137.5,1.75,0.09,0.02
1778056724.12,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056724.12,nutriclinic_redis,0.24,6.4,0.08,0.05,0.07
1778056724.12,nutriclinic_postgres,0.03,55.7,0.71,2.11,29.8
1778056724.12,nutriclinic_minio,0.02,137.6,1.76,0.09,0.02
1778056727.2,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056727.2,nutriclinic_redis,0.58,6.4,0.08,0.05,0.07
1778056727.2,nutriclinic_postgres,0.09,55.8,0.71,2.14,29.8
1778056727.2,nutriclinic_minio,0.0,137.6,1.76,0.09,0.02
1778056730.28,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056730.28,nutriclinic_redis,0.97,6.6,0.08,0.05,0.07
1778056730.28,nutriclinic_postgres,0.11,56.3,0.72,2.23,29.8
1778056730.28,nutriclinic_minio,0.17,137.6,1.76,0.09,0.02
1778056733.39,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056733.39,nutriclinic_redis,0.65,6.6,0.08,0.05,0.07
1778056733.39,nutriclinic_postgres,3.01,56.1,0.72,2.23,29.8
1778056733.39,nutriclinic_minio,2.82,137.7,1.76,0.09,0.02
1778056736.5,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056736.5,nutriclinic_redis,0.24,6.6,0.08,0.05,0.07
1778056736.5,nutriclinic_postgres,0.26,56.1,0.72,2.3,29.8
1778056736.5,nutriclinic_minio,0.0,137.6,1.76,0.09,0.02
1778056739.59,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056739.59,nutriclinic_redis,1.56,6.6,0.08,0.06,0.07
1778056739.59,nutriclinic_postgres,0.45,56.2,0.72,2.36,29.8
1778056739.59,nutriclinic_minio,0.09,137.6,1.76,0.09,0.02
1778056742.69,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056742.69,nutriclinic_redis,0.21,6.9,0.09,0.06,0.07
1778056742.69,nutriclinic_postgres,0.07,56.2,0.72,2.39,29.8
1778056742.69,nutriclinic_minio,0.0,137.6,1.76,0.09,0.02
1778056745.8,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056745.8,nutriclinic_redis,0.69,6.6,0.08,0.06,0.07
1778056745.8,nutriclinic_postgres,0.09,56.4,0.72,2.42,29.8
1778056745.8,nutriclinic_minio,0.27,137.6,1.76,0.09,0.02
1778056748.88,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056748.88,nutriclinic_redis,0.25,6.6,0.08,0.06,0.07
1778056748.88,nutriclinic_postgres,0.0,56.2,0.72,2.45,29.8
1778056748.88,nutriclinic_minio,4.26,137.8,1.76,0.09,0.02
1778056751.97,nutriclinic_bot,0.02,1608.7,20.53,5.19,0.31
1778056751.97,nutriclinic_redis,0.23,6.6,0.08,0.06,0.07
1778056751.97,nutriclinic_postgres,0.04,56.3,0.72,2.52,29.8
1778056751.97,nutriclinic_minio,0.02,137.6,1.76,0.09,0.02
1778056755.05,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056755.05,nutriclinic_redis,1.72,6.7,0.09,0.06,0.07
1778056755.05,nutriclinic_postgres,0.29,56.4,0.72,2.61,29.8
1778056755.05,nutriclinic_minio,0.0,137.6,1.76,0.09,0.02
1778056758.13,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056758.13,nutriclinic_redis,0.2,6.4,0.08,0.06,0.07
1778056758.13,nutriclinic_postgres,2.04,56.2,0.72,2.61,29.8
1778056758.13,nutriclinic_minio,1.94,137.8,1.76,0.09,0.02
1778056761.22,nutriclinic_bot,0.43,1608.7,20.53,5.19,0.31
1778056761.22,nutriclinic_redis,0.69,7.1,0.09,0.06,0.07
1778056761.22,nutriclinic_postgres,0.89,56.2,0.72,2.64,29.8
1778056761.22,nutriclinic_minio,0.17,137.6,1.76,0.09,0.02
1778056764.33,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056764.33,nutriclinic_redis,0.28,6.6,0.08,0.06,0.07
1778056764.33,nutriclinic_postgres,0.0,56.2,0.72,2.67,29.8
1778056764.33,nutriclinic_minio,0.02,137.6,1.76,0.09,0.02
1778056767.44,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056767.44,nutriclinic_redis,0.9,6.6,0.08,0.06,0.07
1778056767.44,nutriclinic_postgres,0.16,56.2,0.72,2.67,29.8
1778056767.44,nutriclinic_minio,0.08,137.6,1.76,0.09,0.02
1778056770.51,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056770.51,nutriclinic_redis,0.8,6.6,0.08,0.06,0.07
1778056770.51,nutriclinic_postgres,0.0,56.2,0.72,2.73,29.8
1778056770.51,nutriclinic_minio,0.01,137.6,1.76,0.09,0.02
1778056773.6,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056773.6,nutriclinic_redis,0.7,6.4,0.08,0.06,0.07
1778056773.6,nutriclinic_postgres,3.25,56.3,0.72,2.73,29.8
1778056773.6,nutriclinic_minio,2.97,137.9,1.76,0.09,0.02
1778056776.69,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056776.69,nutriclinic_redis,0.21,6.4,0.08,0.06,0.07
1778056776.69,nutriclinic_postgres,0.0,56.2,0.72,2.73,29.8
1778056776.69,nutriclinic_minio,0.0,137.6,1.76,0.09,0.02
1778056779.77,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056779.77,nutriclinic_redis,0.47,6.4,0.08,0.06,0.07
1778056779.77,nutriclinic_postgres,0.06,56.2,0.72,2.77,29.8
1778056779.77,nutriclinic_minio,0.04,137.7,1.76,0.09,0.02
1778056782.87,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056782.87,nutriclinic_redis,0.41,6.6,0.08,0.06,0.07
1778056782.87,nutriclinic_postgres,0.12,56.4,0.72,2.83,29.8
1778056782.87,nutriclinic_minio,0.0,137.6,1.76,0.09,0.02
1778056785.94,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056785.94,nutriclinic_redis,0.86,6.6,0.08,0.06,0.07
1778056785.94,nutriclinic_postgres,0.0,56.2,0.72,2.86,29.8
1778056785.94,nutriclinic_minio,0.03,137.6,1.76,0.09,0.02
1778056789.04,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056789.04,nutriclinic_redis,0.51,6.6,0.08,0.06,0.07
1778056789.04,nutriclinic_postgres,2.69,56.2,0.72,2.89,29.8
1778056789.04,nutriclinic_minio,2.17,137.6,1.76,0.09,0.02
1778056792.12,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056792.12,nutriclinic_redis,0.82,6.4,0.08,0.06,0.07
1778056792.12,nutriclinic_postgres,0.01,56.2,0.72,2.89,29.8
1778056792.12,nutriclinic_minio,0.07,137.6,1.76,0.09,0.02
1778056795.23,nutriclinic_bot,0.0,1608.7,20.53,5.19,0.31
1778056795.23,nutriclinic_redis,1.9,6.8,0.09,0.06,0.07
1778056795.23,nutriclinic_postgres,0.0,56.2,0.72,2.89,29.8
1778056795.23,nutriclinic_minio,0.0,137.6,1.76,0.09,0.02
