ts,container,cpu_pct,mem_mb,mem_pct,net_in_mb,net_out_mb
1778070737.3,nutriclinic_bot,206.74,1351.7,17.25,78.3,61.7
1778070737.3,nutriclinic_redis,0.26,10.7,0.14,0.7,0.32
1778070737.3,nutriclinic_postgres,0.0,32.9,0.42,94.2,119.0
1778070737.3,nutriclinic_minio,0.02,98.4,1.26,0.05,0.01
1778070740.38,nutriclinic_bot,76.08,1899.5,24.24,83.3,61.7
1778070740.38,nutriclinic_redis,0.27,10.4,0.13,0.7,0.32
1778070740.38,nutriclinic_postgres,0.0,34.7,0.44,94.2,124.0
1778070740.38,nutriclinic_minio,0.0,98.4,1.26,0.05,0.01
1778070743.5,nutriclinic_bot,367.01,2030.6,25.92,83.3,61.8
1778070743.5,nutriclinic_redis,0.58,10.4,0.13,0.7,0.32
1778070743.5,nutriclinic_postgres,3.19,41.0,0.52,94.3,124.0
1778070743.5,nutriclinic_minio,2.93,98.4,1.26,0.05,0.01
1778070746.61,nutriclinic_bot,28.97,2027.5,25.88,83.4,62.0
1778070746.61,nutriclinic_redis,0.28,10.4,0.13,0.7,0.32
1778070746.61,nutriclinic_postgres,0.23,42.5,0.54,94.4,124.0
1778070746.61,nutriclinic_minio,0.04,98.4,1.26,0.05,0.01
1778070749.71,nutriclinic_bot,842.85,2033.7,25.96,83.5,62.2
1778070749.71,nutriclinic_redis,0.29,10.4,0.13,0.7,0.32
1778070749.71,nutriclinic_postgres,1.08,52.1,0.67,94.6,124.0
1778070749.71,nutriclinic_minio,0.0,98.4,1.26,0.05,0.01
1778070752.8,nutriclinic_bot,930.35,2036.7,25.99,83.5,62.4
1778070752.8,nutriclinic_redis,1.11,10.4,0.13,0.71,0.32
1778070752.8,nutriclinic_postgres,2.29,52.4,0.67,94.8,124.0
1778070752.8,nutriclinic_minio,1.8,98.5,1.26,0.05,0.01
1778070755.9,nutriclinic_bot,685.68,2042.9,26.08,83.6,62.7
1778070755.9,nutriclinic_redis,0.37,10.4,0.13,0.71,0.32
1778070755.9,nutriclinic_postgres,0.52,52.9,0.67,95.0,124.0
1778070755.9,nutriclinic_minio,0.01,98.4,1.26,0.05,0.01
1778070758.99,nutriclinic_bot,971.03,2041.9,26.05,83.7,62.8
1778070758.99,nutriclinic_redis,1.02,10.7,0.14,0.71,0.32
