ts,container,cpu_pct,mem_mb,mem_pct,net_in_mb,net_out_mb
1778066024.1,nutriclinic_bot,189.18,1403.9,17.92,20.9,2.91
1778066024.1,nutriclinic_redis,0.3,10.6,0.14,0.16,0.09
1778066024.1,nutriclinic_postgres,0.0,31.3,0.4,3.85,40.2
1778066024.1,nutriclinic_minio,0.01,95.4,1.22,0.05,0.01
1778066027.18,nutriclinic_bot,100.89,1975.3,25.21,25.9,2.95
1778066027.18,nutriclinic_redis,1.48,10.4,0.13,0.16,0.09
1778066027.18,nutriclinic_postgres,2.74,33.4,0.43,3.89,45.1
1778066027.18,nutriclinic_minio,2.51,95.7,1.22,0.05,0.01
1778066030.27,nutriclinic_bot,380.7,2082.8,26.58,25.9,3.04
1778066030.27,nutriclinic_redis,0.26,10.3,0.13,0.16,0.09
1778066030.27,nutriclinic_postgres,0.59,39.1,0.5,3.97,45.1
1778066030.27,nutriclinic_minio,0.0,95.4,1.22,0.05,0.01
1778066033.37,nutriclinic_bot,0.93,2079.7,26.55,25.9,3.09
1778066033.37,nutriclinic_redis,0.2,10.3,0.13,0.16,0.09
1778066033.37,nutriclinic_postgres,0.04,40.7,0.52,4.0,45.1
1778066033.37,nutriclinic_minio,0.01,95.7,1.22,0.05,0.01
1778066036.47,nutriclinic_bot,538.59,2097.2,26.76,26.0,3.19
1778066036.47,nutriclinic_redis,0.37,10.3,0.13,0.16,0.09
1778066036.47,nutriclinic_postgres,0.09,40.7,0.52,4.1,45.2
1778066036.47,nutriclinic_minio,0.06,95.7,1.22,0.05,0.01
1778066039.58,nutriclinic_bot,1.82,2089.0,26.66,26.0,3.24
1778066039.58,nutriclinic_redis,0.86,10.6,0.14,0.16,0.09
1778066039.58,nutriclinic_postgres,0.0,40.7,0.52,4.13,45.2
1778066039.58,nutriclinic_minio,0.03,96.0,1.22,0.05,0.01
1778066042.7,nutriclinic_bot,0.0,2089.0,26.66,26.0,3.25
1778066042.7,nutriclinic_redis,0.77,10.8,0.14,0.16,0.09
1778066042.7,nutriclinic_postgres,2.06,40.7,0.52,4.13,45.2
1778066042.7,nutriclinic_minio,1.82,96.0,1.22,0.05,0.01
1778066045.77,nutriclinic_bot,470.65,2098.2,26.78,26.1,3.39
1778066045.77,nutriclinic_redis,0.25,10.3,0.13,0.16,0.09
1778066045.77,nutriclinic_postgres,0.44,44.6,0.57,4.26,45.2
1778066045.77,nutriclinic_minio,0.02,96.0,1.22,0.05,0.01
1778066048.86,nutriclinic_bot,0.0,2098.2,26.78,26.1,3.43
1778066048.86,nutriclinic_redis,0.7,10.6,0.14,0.16,0.09
1778066048.86,nutriclinic_postgres,0.01,44.6,0.57,4.29,45.2
1778066048.86,nutriclinic_minio,0.07,96.0,1.23,0.05,0.01
1778066051.93,nutriclinic_bot,1.03,2098.2,26.77,26.1,3.47
1778066051.93,nutriclinic_redis,0.41,10.6,0.14,0.16,0.09
1778066051.93,nutriclinic_postgres,0.1,44.6,0.57,4.32,45.2
1778066051.93,nutriclinic_minio,0.02,96.0,1.23,0.05,0.01
1778066055.02,nutriclinic_bot,570.74,2101.2,26.82,26.1,3.61
1778066055.02,nutriclinic_redis,0.42,10.4,0.13,0.16,0.09
1778066055.02,nutriclinic_postgres,0.13,44.6,0.57,4.41,45.2
1778066055.02,nutriclinic_minio,0.02,96.0,1.23,0.05,0.01
1778066058.11,nutriclinic_bot,468.91,2099.2,26.79,26.2,3.69
1778066058.11,nutriclinic_redis,0.79,10.6,0.14,0.16,0.09
1778066058.11,nutriclinic_postgres,2.04,48.5,0.62,4.51,45.2
1778066058.11,nutriclinic_minio,2.04,96.0,1.23,0.05,0.01
1778066061.19,nutriclinic_bot,0.0,2098.2,26.78,26.2,3.69
