ts,container,cpu_pct,mem_mb,mem_pct,net_in_mb,net_out_mb
1778071897.27,nutriclinic_bot,212.13,1426.4,18.21,105.0,90.7
1778071897.27,nutriclinic_redis,0.78,10.4,0.13,0.85,0.38
1778071897.27,nutriclinic_postgres,0.06,71.6,0.91,119.0,135.0
1778071897.27,nutriclinic_minio,0.01,98.6,1.26,0.05,0.01
1778071900.46,nutriclinic_bot,50.74,1911.8,24.39,110.0,90.7
1778071900.46,nutriclinic_redis,0.21,10.4,0.13,0.85,0.38
1778071900.46,nutriclinic_postgres,0.06,73.4,0.94,119.0,140.0
1778071900.46,nutriclinic_minio,0.01,98.6,1.26,0.05,0.01
1778071903.58,nutriclinic_bot,466.89,2047.0,26.12,110.0,90.7
1778071903.58,nutriclinic_redis,0.48,10.7,0.14,0.85,0.38
1778071903.58,nutriclinic_postgres,1.74,77.5,0.99,119.0,140.0
1778071903.58,nutriclinic_minio,0.0,98.6,1.26,0.05,0.01
1778071906.66,nutriclinic_bot,172.55,2051.1,26.18,110.0,90.8
1778071906.66,nutriclinic_redis,0.24,10.7,0.14,0.85,0.38
1778071906.66,nutriclinic_postgres,0.56,79.4,1.01,119.0,140.0
1778071906.66,nutriclinic_minio,0.04,98.6,1.26,0.05,0.01
1778071909.74,nutriclinic_bot,1.59,2051.1,26.17,110.0,90.9
1778071909.74,nutriclinic_redis,0.59,10.4,0.13,0.85,0.38
1778071909.74,nutriclinic_postgres,3.1,79.4,1.01,119.0,140.0
1778071909.74,nutriclinic_minio,2.5,98.9,1.26,0.05,0.01
1778071912.81,nutriclinic_bot,0.6,2051.1,26.17,110.0,90.9
1778071912.81,nutriclinic_redis,0.19,10.7,0.14,0.85,0.38
1778071912.81,nutriclinic_postgres,0.13,79.4,1.01,119.0,140.0
1778071912.81,nutriclinic_minio,0.03,98.6,1.26,0.05,0.01
1778071915.89,nutriclinic_bot,84.3,2056.2,26.23,110.0,90.9
1778071915.89,nutriclinic_redis,0.22,10.9,0.14,0.85,0.38
1778071915.89,nutriclinic_postgres,0.1,79.4,1.01,119.0,140.0
1778071915.89,nutriclinic_minio,0.0,98.6,1.26,0.05,0.01
1778071918.98,nutriclinic_bot,276.13,2056.2,26.24,110.0,91.0
1778071918.98,nutriclinic_redis,0.51,10.4,0.13,0.85,0.38
1778071918.98,nutriclinic_postgres,1.15,79.4,1.01,119.0,140.0
1778071918.98,nutriclinic_minio,0.07,98.6,1.26,0.05,0.01
1778071922.06,nutriclinic_bot,0.28,2055.2,26.23,110.0,91.0
1778071922.06,nutriclinic_redis,0.82,10.7,0.14,0.85,0.38
1778071922.06,nutriclinic_postgres,0.31,79.4,1.01,119.0,140.0
1778071922.06,nutriclinic_minio,0.01,98.6,1.26,0.05,0.01
1778071925.13,nutriclinic_bot,455.23,2056.2,26.24,110.0,91.1
1778071925.13,nutriclinic_redis,0.24,10.7,0.14,0.85,0.38
1778071925.13,nutriclinic_postgres,0.13,79.4,1.01,119.0,140.0
1778071925.13,nutriclinic_minio,1.75,98.6,1.26,0.05,0.01
1778071928.22,nutriclinic_bot,0.01,2056.2,26.24,110.0,91.1
1778071928.22,nutriclinic_redis,0.56,10.7,0.14,0.85,0.38
1778071928.22,nutriclinic_postgres,0.12,79.4,1.01,119.0,140.0
1778071928.22,nutriclinic_minio,0.0,98.6,1.26,0.05,0.01
1778071931.29,nutriclinic_bot,0.31,2056.2,26.24,110.0,91.1
1778071931.29,nutriclinic_redis,0.21,10.7,0.14,0.85,0.38
1778071931.29,nutriclinic_postgres,0.05,79.4,1.01,119.0,140.0
1778071931.29,nutriclinic_minio,0.02,98.6,1.26,0.05,0.01
1778071934.38,nutriclinic_bot,558.28,2066.4,26.37,110.0,91.2
1778071934.38,nutriclinic_redis,0.33,10.4,0.13,0.85,0.38
