ts,container,cpu_pct,mem_mb,mem_pct,net_in_mb,net_out_mb
1778072382.2,nutriclinic_bot,201.72,1292.3,16.5,117.0,96.3
1778072382.2,nutriclinic_redis,0.23,10.4,0.13,0.88,0.39
1778072382.2,nutriclinic_postgres,0.0,71.6,0.91,123.0,145.0
1778072382.2,nutriclinic_minio,0.01,98.7,1.26,0.05,0.01
1778072385.27,nutriclinic_bot,31.04,1922.0,24.53,122.0,96.4
1778072385.27,nutriclinic_redis,0.29,10.4,0.13,0.88,0.39
1778072385.27,nutriclinic_postgres,2.98,75.2,0.96,123.0,150.0
1778072385.27,nutriclinic_minio,0.01,98.7,1.26,0.05,0.01
1778072388.35,nutriclinic_bot,920.79,2059.3,26.29,122.0,96.5
1778072388.35,nutriclinic_redis,0.24,10.4,0.13,0.88,0.39
1778072388.35,nutriclinic_postgres,1.04,81.2,1.04,124.0,150.0
1778072388.35,nutriclinic_minio,0.04,98.7,1.26,0.05,0.01
1778072391.46,nutriclinic_bot,863.28,2066.4,26.37,122.0,96.7
1778072391.46,nutriclinic_redis,0.84,10.4,0.13,0.88,0.39
1778072391.46,nutriclinic_postgres,0.97,83.3,1.06,124.0,150.0
1778072391.46,nutriclinic_minio,0.0,98.7,1.26,0.05,0.01
1778072394.54,nutriclinic_bot,733.39,2053.1,26.2,122.0,96.9
1778072394.54,nutriclinic_redis,0.33,10.4,0.13,0.88,0.39
1778072394.54,nutriclinic_postgres,3.64,86.8,1.11,124.0,150.0
1778072394.54,nutriclinic_minio,2.18,98.7,1.26,0.05,0.01
1778072397.64,nutriclinic_bot,916.98,2062.3,26.31,122.0,97.1
1778072397.64,nutriclinic_redis,0.26,10.7,0.14,0.88,0.39
1778072397.64,nutriclinic_postgres,2.05,87.0,1.11,124.0,150.0
1778072397.64,nutriclinic_minio,0.94,98.7,1.26,0.05,0.01
1778072400.84,nutriclinic_bot,808.63,2064.4,26.34,123.0,97.2
1778072400.84,nutriclinic_redis,0.99,10.4,0.13,0.88,0.39
1778072400.84,nutriclinic_postgres,0.76,89.0,1.14,124.0,150.0
1778072400.84,nutriclinic_minio,0.03,98.7,1.26,0.05,0.01
1778072403.93,nutriclinic_bot,819.88,2062.3,26.32,123.0,97.4
1778072403.93,nutriclinic_redis,0.26,10.4,0.13,0.88,0.39
1778072403.93,nutriclinic_postgres,2.26,89.8,1.15,124.0,150.0
1778072403.93,nutriclinic_minio,0.06,98.7,1.26,0.05,0.01
1778072407.03,nutriclinic_bot,606.53,2062.3,26.32,123.0,97.6
1778072407.03,nutriclinic_redis,0.32,10.4,0.13,0.88,0.39
1778072407.03,nutriclinic_postgres,1.11,91.1,1.16,124.0,150.0
1778072407.03,nutriclinic_minio,0.05,98.7,1.26,0.05,0.01
1778072410.14,nutriclinic_bot,434.35,2065.4,26.36,123.0,97.7
1778072410.14,nutriclinic_redis,0.23,10.4,0.13,0.88,0.39
