ts,container,cpu_pct,mem_mb,mem_pct,net_in_mb,net_out_mb
1778068566.17,nutriclinic_bot,212.77,1435.6,18.32,22.5,6.93
1778068566.17,nutriclinic_redis,0.19,10.7,0.14,0.41,0.2
1778068566.17,nutriclinic_postgres,0.0,32.9,0.42,46.9,81.9
1778068566.17,nutriclinic_minio,0.02,97.1,1.24,0.05,0.01
1778068569.26,nutriclinic_bot,8.99,1896.4,24.2,27.5,6.99
1778068569.26,nutriclinic_redis,0.22,10.7,0.14,0.41,0.2
1778068569.26,nutriclinic_postgres,0.32,36.6,0.47,47.0,86.9
1778068569.26,nutriclinic_minio,0.02,97.1,1.24,0.05,0.01
1778068572.36,nutriclinic_bot,448.42,2037.8,26.0,27.5,7.12
1778068572.36,nutriclinic_redis,0.47,10.4,0.13,0.42,0.2
1778068572.36,nutriclinic_postgres,0.28,42.5,0.54,47.1,86.9
1778068572.36,nutriclinic_minio,0.07,97.1,1.24,0.05,0.01
1778068575.42,nutriclinic_bot,625.86,2042.9,26.07,27.6,7.27
1778068575.42,nutriclinic_redis,0.25,10.4,0.13,0.42,0.2
1778068575.42,nutriclinic_postgres,0.43,44.6,0.57,47.2,86.9
1778068575.42,nutriclinic_minio,0.02,97.1,1.24,0.05,0.01
1778068578.51,nutriclinic_bot,681.98,2036.7,25.99,27.6,7.38
1778068578.51,nutriclinic_redis,0.29,10.7,0.14,0.42,0.2
1778068578.51,nutriclinic_postgres,0.32,46.3,0.59,47.4,86.9
1778068578.51,nutriclinic_minio,0.04,97.1,1.24,0.05,0.01
1778068581.59,nutriclinic_bot,961.64,2040.8,26.05,27.7,7.57
1778068581.59,nutriclinic_redis,0.27,10.4,0.13,0.42,0.2
1778068581.59,nutriclinic_postgres,2.66,50.3,0.64,47.5,86.9
1778068581.59,nutriclinic_minio,0.03,97.1,1.24,0.05,0.01
1778068584.68,nutriclinic_bot,451.71,2042.9,26.07,27.8,7.83
1778068584.68,nutriclinic_redis,0.47,10.4,0.13,0.42,0.2
1778068584.68,nutriclinic_postgres,0.24,50.4,0.64,47.7,86.9
1778068584.68,nutriclinic_minio,0.06,97.1,1.24,0.05,0.01
1778068587.77,nutriclinic_bot,811.26,2037.8,26.0,27.9,8.02
1778068587.77,nutriclinic_redis,0.23,10.4,0.13,0.42,0.2
1778068587.77,nutriclinic_postgres,0.53,52.5,0.67,47.9,86.9
1778068587.77,nutriclinic_minio,0.01,97.1,1.24,0.05,0.01
1778068590.84,nutriclinic_bot,693.82,2036.7,25.99,27.9,8.13
1778068590.84,nutriclinic_redis,0.24,10.4,0.13,0.42,0.2
1778068590.84,nutriclinic_postgres,0.14,52.5,0.67,48.0,86.9
1778068590.84,nutriclinic_minio,0.02,97.1,1.24,0.05,0.01
1778068593.92,nutriclinic_bot,519.22,2066.4,26.37,28.0,8.27
1778068593.92,nutriclinic_redis,0.44,10.4,0.13,0.42,0.2
1778068593.92,nutriclinic_postgres,0.21,52.5,0.67,48.1,86.9
1778068593.92,nutriclinic_minio,0.0,97.1,1.24,0.05,0.01
1778068596.99,nutriclinic_bot,801.25,2063.4,26.33,28.0,8.4
1778068596.99,nutriclinic_redis,0.23,10.7,0.14,0.42,0.2
1778068596.99,nutriclinic_postgres,2.18,52.5,0.67,48.2,86.9
1778068596.99,nutriclinic_minio,1.9,97.1,1.24,0.05,0.01
1778068600.06,nutriclinic_bot,856.32,2063.4,26.34,28.1,8.55
1778068600.06,nutriclinic_redis,0.24,10.4,0.13,0.42,0.2
1778068600.06,nutriclinic_postgres,0.09,52.5,0.67,48.3,86.9
1778068600.06,nutriclinic_minio,0.01,97.1,1.24,0.05,0.01
1778068603.15,nutriclinic_bot,439.11,2034.7,25.97,28.1,8.63
1778068603.15,nutriclinic_redis,0.46,10.7,0.14,0.42,0.2
1778068603.15,nutriclinic_postgres,0.1,52.6,0.67,48.4,86.9
1778068603.15,nutriclinic_minio,1.86,97.1,1.24,0.05,0.01
1778068606.23,nutriclinic_bot,824.24,2033.7,25.96,28.2,8.77
1778068606.23,nutriclinic_redis,0.24,10.4,0.13,0.42,0.2
1778068606.23,nutriclinic_postgres,0.08,52.5,0.67,48.5,86.9
1778068606.23,nutriclinic_minio,0.0,97.1,1.24,0.05,0.01
1778068609.31,nutriclinic_bot,825.23,2057.2,26.26,28.2,8.96
1778068609.31,nutriclinic_redis,0.24,10.4,0.13,0.42,0.2
1778068609.31,nutriclinic_postgres,0.05,52.5,0.67,48.6,86.9
1778068609.31,nutriclinic_minio,0.02,97.1,1.24,0.05,0.01
1778068612.39,nutriclinic_bot,739.49,2033.7,25.95,28.3,9.1
1778068612.39,nutriclinic_redis,0.99,10.7,0.14,0.42,0.2
1778068612.39,nutriclinic_postgres,2.05,52.6,0.67,48.8,86.9
1778068612.39,nutriclinic_minio,1.9,97.1,1.24,0.05,0.01
1778068615.48,nutriclinic_bot,643.04,2063.4,26.33,28.3,9.21
1778068615.48,nutriclinic_redis,0.23,10.4,0.13,0.43,0.2
1778068615.48,nutriclinic_postgres,0.1,52.5,0.67,48.9,86.9
1778068615.48,nutriclinic_minio,0.01,97.1,1.24,0.05,0.01
1778068618.55,nutriclinic_bot,478.47,2049.0,26.15,28.4,9.3
1778068618.55,nutriclinic_redis,0.26,10.4,0.13,0.43,0.2
1778068618.55,nutriclinic_postgres,0.12,52.5,0.67,49.0,87.0
1778068618.55,nutriclinic_minio,1.83,97.1,1.24,0.05,0.01
1778068621.64,nutriclinic_bot,931.64,2049.0,26.14,28.4,9.51
1778068621.64,nutriclinic_redis,0.33,10.4,0.13,0.43,0.2
1778068621.64,nutriclinic_postgres,0.07,52.6,0.67,49.1,87.0
1778068621.64,nutriclinic_minio,0.0,97.1,1.24,0.05,0.01
1778068624.75,nutriclinic_bot,0.69,2047.0,26.13,28.5,9.57
1778068624.75,nutriclinic_redis,0.2,10.4,0.13,0.43,0.2
1778068624.75,nutriclinic_postgres,0.03,52.6,0.67,49.2,87.0
1778068624.75,nutriclinic_minio,0.01,97.1,1.24,0.05,0.01
1778068627.83,nutriclinic_bot,743.39,2067.5,26.38,28.5,9.67
1778068627.83,nutriclinic_redis,1.69,10.7,0.14,0.43,0.2
1778068627.83,nutriclinic_postgres,0.12,52.8,0.67,49.3,87.0
1778068627.83,nutriclinic_minio,0.0,97.1,1.24,0.05,0.01
1778068630.93,nutriclinic_bot,821.32,2037.8,26.01,28.6,9.83
1778068630.93,nutriclinic_redis,0.26,10.4,0.13,0.43,0.2
1778068630.93,nutriclinic_postgres,0.15,52.6,0.67,49.4,87.0
1778068630.93,nutriclinic_minio,0.02,97.1,1.24,0.05,0.01
1778068634.01,nutriclinic_bot,0.29,2039.8,26.03,28.6,9.9
1778068634.01,nutriclinic_redis,0.21,10.4,0.13,0.43,0.2
1778068634.01,nutriclinic_postgres,0.0,52.6,0.67,49.4,87.0
1778068634.01,nutriclinic_minio,0.01,97.1,1.24,0.05,0.01
1778068637.1,nutriclinic_bot,4.62,2048.0,26.13,28.6,9.95
1778068637.1,nutriclinic_redis,0.98,10.4,0.13,0.43,0.2
1778068637.1,nutriclinic_postgres,2.21,52.6,0.67,49.5,87.0
1778068637.1,nutriclinic_minio,1.97,97.1,1.24,0.05,0.01
1778068640.38,nutriclinic_bot,747.54,2041.9,26.05,28.7,10.2
1778068640.38,nutriclinic_redis,0.28,10.4,0.13,0.43,0.2
1778068640.38,nutriclinic_postgres,0.12,52.6,0.67,49.7,87.0
1778068640.38,nutriclinic_minio,0.02,98.2,1.25,0.05,0.01
1778068643.45,nutriclinic_bot,738.2,2064.4,26.35,28.7,10.3
1778068643.45,nutriclinic_redis,0.38,10.4,0.13,0.43,0.2
1778068643.45,nutriclinic_postgres,0.16,52.6,0.67,49.8,87.0
1778068643.45,nutriclinic_minio,0.0,98.2,1.25,0.05,0.01
1778068646.51,nutriclinic_bot,1.3,2036.7,26.0,28.8,10.4
1778068646.51,nutriclinic_redis,0.23,10.7,0.14,0.43,0.2
1778068646.51,nutriclinic_postgres,0.08,52.6,0.67,49.9,87.0
1778068646.51,nutriclinic_minio,0.01,98.2,1.25,0.05,0.01
1778068649.6,nutriclinic_bot,560.93,2037.8,26.0,28.8,10.5
1778068649.6,nutriclinic_redis,0.25,10.7,0.14,0.43,0.2
1778068649.6,nutriclinic_postgres,0.08,52.6,0.67,50.0,87.0
1778068649.6,nutriclinic_minio,0.0,98.2,1.25,0.05,0.01
1778068652.68,nutriclinic_bot,815.21,2059.3,26.28,28.9,10.7
1778068652.68,nutriclinic_redis,1.0,10.4,0.13,0.43,0.2
1778068652.68,nutriclinic_postgres,2.41,52.6,0.67,50.1,87.0
1778068652.68,nutriclinic_minio,1.95,98.2,1.25,0.05,0.01
1778068655.77,nutriclinic_bot,381.01,2024.4,25.83,28.9,10.8
1778068655.77,nutriclinic_redis,0.23,10.4,0.13,0.43,0.2
1778068655.77,nutriclinic_postgres,0.11,52.6,0.67,50.2,87.0
1778068655.77,nutriclinic_minio,0.01,98.2,1.25,0.05,0.01
1778068658.86,nutriclinic_bot,902.35,2056.2,26.24,29.0,10.9
1778068658.86,nutriclinic_redis,0.26,10.4,0.13,0.43,0.2
1778068658.86,nutriclinic_postgres,0.0,52.6,0.67,50.3,87.0
1778068658.86,nutriclinic_minio,0.03,98.2,1.25,0.05,0.01
1778068661.95,nutriclinic_bot,1.35,2033.7,25.96,29.0,11.0
1778068661.95,nutriclinic_redis,0.83,10.9,0.14,0.44,0.2
1778068661.95,nutriclinic_postgres,0.0,52.6,0.67,50.4,87.0
1778068661.95,nutriclinic_minio,0.05,98.2,1.25,0.05,0.01
1778068665.03,nutriclinic_bot,471.28,2034.7,25.96,29.1,11.2
1778068665.03,nutriclinic_redis,0.2,10.4,0.13,0.44,0.2
1778068665.03,nutriclinic_postgres,0.11,52.6,0.67,50.5,87.0
