ts,container,cpu_pct,mem_mb,mem_pct,net_in_mb,net_out_mb
1778068072.57,nutriclinic_bot,196.93,1429.5,18.24,10.1,0.52
1778068072.57,nutriclinic_redis,0.25,10.4,0.13,0.38,0.18
1778068072.57,nutriclinic_postgres,2.01,32.9,0.42,41.5,71.8
1778068072.57,nutriclinic_minio,1.93,97.0,1.24,0.05,0.01
1778068075.65,nutriclinic_bot,0.0,1906.7,24.33,15.0,0.56
1778068075.65,nutriclinic_redis,0.43,10.4,0.13,0.38,0.18
1778068075.65,nutriclinic_postgres,0.0,34.6,0.44,41.5,76.8
1778068075.65,nutriclinic_minio,0.02,97.0,1.24,0.05,0.01
1778068078.72,nutriclinic_bot,0.7,1908.7,24.36,15.0,0.57
1778068078.72,nutriclinic_redis,0.24,10.7,0.14,0.38,0.18
1778068078.72,nutriclinic_postgres,2.1,36.5,0.47,41.5,76.8
1778068078.72,nutriclinic_minio,0.03,97.0,1.24,0.05,0.01
1778068081.8,nutriclinic_bot,144.18,2046.0,26.11,15.1,0.68
1778068081.8,nutriclinic_redis,0.22,10.4,0.13,0.38,0.18
1778068081.8,nutriclinic_postgres,0.06,40.6,0.52,41.6,76.8
1778068081.8,nutriclinic_minio,0.0,97.0,1.24,0.05,0.01
1778068084.88,nutriclinic_bot,2.12,2035.7,25.99,15.1,0.69
1778068084.88,nutriclinic_redis,0.88,10.7,0.14,0.38,0.18
1778068084.88,nutriclinic_postgres,0.22,40.7,0.52,41.6,76.8
1778068084.88,nutriclinic_minio,0.07,97.0,1.24,0.05,0.01
1778068087.97,nutriclinic_bot,307.53,2036.7,25.99,15.1,0.75
1778068087.97,nutriclinic_redis,0.79,10.8,0.14,0.38,0.18
1778068087.97,nutriclinic_postgres,2.12,40.7,0.52,41.7,76.8
1778068087.97,nutriclinic_minio,2.57,97.0,1.24,0.05,0.01
1778068091.08,nutriclinic_bot,0.58,2036.7,25.99,15.1,0.75
1778068091.08,nutriclinic_redis,0.82,10.9,0.14,0.38,0.18
1778068091.08,nutriclinic_postgres,0.13,40.7,0.52,41.7,76.8
1778068091.08,nutriclinic_minio,0.05,97.0,1.24,0.05,0.01
1778068094.14,nutriclinic_bot,0.01,2036.7,25.99,15.1,0.75
1778068094.14,nutriclinic_redis,0.24,10.4,0.13,0.38,0.18
1778068094.14,nutriclinic_postgres,0.04,40.7,0.52,41.7,76.8
1778068094.14,nutriclinic_minio,0.01,97.0,1.24,0.05,0.01
1778068097.24,nutriclinic_bot,0.43,2044.9,26.09,15.1,0.79
1778068097.24,nutriclinic_redis,0.64,10.4,0.13,0.38,0.18
1778068097.24,nutriclinic_postgres,0.07,40.7,0.52,41.7,76.8
1778068097.24,nutriclinic_minio,0.05,97.0,1.24,0.05,0.01
1778068100.33,nutriclinic_bot,175.95,2054.1,26.21,15.2,0.86
1778068100.33,nutriclinic_redis,0.27,10.4,0.13,0.38,0.18
1778068100.33,nutriclinic_postgres,0.09,40.7,0.52,41.8,76.8
1778068100.33,nutriclinic_minio,0.01,97.0,1.24,0.05,0.01
1778068103.41,nutriclinic_bot,167.2,2034.7,25.97,15.2,0.9
1778068103.41,nutriclinic_redis,0.21,10.4,0.13,0.38,0.18
1778068103.41,nutriclinic_postgres,2.05,40.7,0.52,41.8,76.8
1778068103.41,nutriclinic_minio,2.17,97.0,1.24,0.05,0.01
1778068106.51,nutriclinic_bot,0.71,2034.7,25.97,15.2,0.9
1778068106.51,nutriclinic_redis,0.56,10.7,0.14,0.38,0.18
1778068106.51,nutriclinic_postgres,0.11,40.7,0.52,41.8,76.8
1778068106.51,nutriclinic_minio,0.03,97.0,1.24,0.05,0.01
1778068109.58,nutriclinic_bot,306.07,2047.0,26.13,15.2,0.94
1778068109.58,nutriclinic_redis,0.66,10.7,0.14,0.38,0.18
1778068109.58,nutriclinic_postgres,0.19,40.7,0.52,41.8,76.8
1778068109.58,nutriclinic_minio,0.01,97.0,1.24,0.05,0.01
1778068112.68,nutriclinic_bot,0.37,2044.9,26.09,15.2,0.95
1778068112.68,nutriclinic_redis,0.36,10.4,0.13,0.38,0.18
1778068112.68,nutriclinic_postgres,1.94,41.0,0.52,41.8,76.8
1778068112.68,nutriclinic_minio,1.85,97.2,1.24,0.05,0.01
1778068115.76,nutriclinic_bot,0.51,2044.9,26.09,15.2,0.95
1778068115.76,nutriclinic_redis,0.3,10.4,0.13,0.38,0.18
1778068115.76,nutriclinic_postgres,0.04,40.7,0.52,41.8,76.8
1778068115.76,nutriclinic_minio,0.0,97.0,1.24,0.05,0.01
1778068118.85,nutriclinic_bot,456.54,2039.8,26.04,15.2,1.04
1778068118.85,nutriclinic_redis,1.56,10.4,0.13,0.38,0.18
1778068118.85,nutriclinic_postgres,0.08,40.7,0.52,41.9,76.8
1778068118.85,nutriclinic_minio,1.77,97.0,1.24,0.05,0.01
1778068121.91,nutriclinic_bot,481.37,2043.9,26.08,15.3,1.11
1778068121.91,nutriclinic_redis,0.25,10.7,0.14,0.38,0.18
1778068121.91,nutriclinic_postgres,0.05,40.8,0.52,42.0,76.8
1778068121.91,nutriclinic_minio,0.05,97.0,1.24,0.05,0.01
1778068125.0,nutriclinic_bot,0.07,2042.9,26.07,15.3,1.11
1778068125.0,nutriclinic_redis,0.9,10.7,0.14,0.38,0.18
1778068125.0,nutriclinic_postgres,0.0,40.8,0.52,42.0,76.8
1778068125.0,nutriclinic_minio,0.06,97.0,1.24,0.05,0.01
1778068128.09,nutriclinic_bot,0.89,2042.9,26.07,15.3,1.12
1778068128.09,nutriclinic_redis,0.76,10.4,0.13,0.38,0.18
1778068128.09,nutriclinic_postgres,1.98,40.8,0.52,42.0,76.8
1778068128.09,nutriclinic_minio,1.71,97.0,1.24,0.05,0.01
1778068131.18,nutriclinic_bot,397.58,2036.7,26.0,15.3,1.22
1778068131.18,nutriclinic_redis,0.22,10.4,0.13,0.38,0.18
1778068131.18,nutriclinic_postgres,0.04,40.8,0.52,42.0,76.8
1778068131.18,nutriclinic_minio,0.01,97.0,1.24,0.05,0.01
1778068134.3,nutriclinic_bot,0.0,2036.7,25.99,15.3,1.23
1778068134.3,nutriclinic_redis,0.63,10.7,0.14,0.38,0.18
1778068134.3,nutriclinic_postgres,0.0,40.8,0.52,42.1,76.8
1778068134.3,nutriclinic_minio,0.0,97.0,1.24,0.05,0.01
1778068137.39,nutriclinic_bot,1.88,2036.7,25.99,15.3,1.23
1778068137.39,nutriclinic_redis,0.79,10.7,0.14,0.38,0.18
1778068137.39,nutriclinic_postgres,0.1,40.8,0.52,42.1,76.8
1778068137.39,nutriclinic_minio,1.33,97.3,1.24,0.05,0.01
1778068140.48,nutriclinic_bot,220.28,2044.9,26.1,15.3,1.27
1778068140.48,nutriclinic_redis,0.56,10.4,0.13,0.38,0.18
1778068140.48,nutriclinic_postgres,0.19,40.8,0.52,42.1,76.8
1778068140.48,nutriclinic_minio,0.02,97.0,1.24,0.05,0.01
1778068143.56,nutriclinic_bot,353.58,2043.9,26.09,15.4,1.33
1778068143.56,nutriclinic_redis,0.23,10.4,0.13,0.38,0.18
1778068143.56,nutriclinic_postgres,1.85,40.8,0.52,42.2,76.8
1778068143.56,nutriclinic_minio,1.7,97.0,1.24,0.05,0.01
1778068146.63,nutriclinic_bot,466.88,2044.9,26.09,15.4,1.37
1778068146.63,nutriclinic_redis,0.49,10.4,0.13,0.38,0.18
1778068146.63,nutriclinic_postgres,0.22,40.8,0.52,42.2,76.8
1778068146.63,nutriclinic_minio,0.03,97.0,1.24,0.05,0.01
1778068149.73,nutriclinic_bot,461.25,2044.9,26.09,15.4,1.41
1778068149.73,nutriclinic_redis,0.83,11.2,0.14,0.38,0.18
1778068149.73,nutriclinic_postgres,0.04,40.8,0.52,42.2,76.8
1778068149.73,nutriclinic_minio,1.99,97.0,1.24,0.05,0.01
1778068152.83,nutriclinic_bot,458.39,2044.9,26.09,15.4,1.48
1778068152.83,nutriclinic_redis,0.5,10.7,0.14,0.39,0.18
1778068152.83,nutriclinic_postgres,0.14,40.8,0.52,42.3,76.8
1778068152.83,nutriclinic_minio,0.07,97.0,1.24,0.05,0.01
1778068155.94,nutriclinic_bot,0.13,2043.9,26.09,15.4,1.48
1778068155.94,nutriclinic_redis,0.21,10.4,0.13,0.39,0.18
1778068155.94,nutriclinic_postgres,0.0,40.8,0.52,42.3,76.8
1778068155.94,nutriclinic_minio,0.0,97.0,1.24,0.05,0.01
1778068159.02,nutriclinic_bot,0.0,2044.9,26.09,15.4,1.52
1778068159.02,nutriclinic_redis,1.57,11.0,0.14,0.39,0.18
1778068159.02,nutriclinic_postgres,1.86,40.8,0.52,42.3,76.8
1778068159.02,nutriclinic_minio,1.79,97.0,1.24,0.05,0.01
1778068162.11,nutriclinic_bot,161.09,2051.1,26.18,15.5,1.55
1778068162.11,nutriclinic_redis,0.2,10.4,0.13,0.39,0.18
1778068162.11,nutriclinic_postgres,0.07,40.8,0.52,42.3,76.8
1778068162.11,nutriclinic_minio,0.0,97.0,1.24,0.05,0.01
1778068165.2,nutriclinic_bot,26.8,2043.9,26.09,15.5,1.59
1778068165.2,nutriclinic_redis,0.32,10.7,0.14,0.39,0.18
1778068165.2,nutriclinic_postgres,0.0,40.8,0.52,42.4,76.8
1778068165.2,nutriclinic_minio,0.02,97.0,1.24,0.05,0.01
1778068168.29,nutriclinic_bot,0.85,2043.9,26.09,15.5,1.59
1778068168.29,nutriclinic_redis,0.32,10.7,0.14,0.39,0.18
1778068168.29,nutriclinic_postgres,3.05,40.8,0.52,42.4,76.8
1778068168.29,nutriclinic_minio,2.77,97.2,1.24,0.05,0.01
1778068171.36,nutriclinic_bot,0.46,2044.9,26.1,15.5,1.63
1778068171.36,nutriclinic_redis,0.26,10.4,0.13,0.39,0.18
1778068171.36,nutriclinic_postgres,0.03,40.8,0.52,42.4,76.8
1778068171.36,nutriclinic_minio,0.01,97.0,1.24,0.05,0.01
1778068174.45,nutriclinic_bot,330.18,2042.9,26.07,15.5,1.69
1778068174.45,nutriclinic_redis,0.62,10.4,0.13,0.39,0.18
1778068174.45,nutriclinic_postgres,0.1,40.8,0.52,42.5,76.8
1778068174.45,nutriclinic_minio,0.01,97.0,1.24,0.05,0.01
1778068177.52,nutriclinic_bot,481.73,2040.8,26.04,15.5,1.76
1778068177.52,nutriclinic_redis,0.22,10.4,0.13,0.39,0.18
1778068177.52,nutriclinic_postgres,0.04,40.8,0.52,42.5,76.8
1778068177.52,nutriclinic_minio,0.0,97.0,1.24,0.05,0.01
1778068180.59,nutriclinic_bot,0.25,2040.8,26.04,15.5,1.76
1778068180.59,nutriclinic_redis,0.22,10.7,0.14,0.39,0.18
1778068180.59,nutriclinic_postgres,0.03,40.8,0.52,42.5,76.8
1778068180.59,nutriclinic_minio,0.01,97.0,1.24,0.05,0.01
1778068183.68,nutriclinic_bot,1.1,2039.8,26.03,15.6,1.8
1778068183.68,nutriclinic_redis,1.6,11.1,0.14,0.39,0.18
1778068183.68,nutriclinic_postgres,2.91,40.8,0.52,42.6,76.8
1778068183.68,nutriclinic_minio,2.64,97.0,1.24,0.05,0.01
1778068186.76,nutriclinic_bot,0.26,2038.8,26.01,15.6,1.87
1778068186.76,nutriclinic_redis,0.23,10.4,0.13,0.39,0.18
1778068186.76,nutriclinic_postgres,0.0,40.8,0.52,42.6,76.8
1778068186.76,nutriclinic_minio,0.0,97.0,1.24,0.05,0.01
1778068189.84,nutriclinic_bot,0.0,2063.4,26.33,15.6,1.9
1778068189.84,nutriclinic_redis,0.84,10.6,0.14,0.39,0.18
1778068189.84,nutriclinic_postgres,0.0,40.8,0.52,42.6,76.8
1778068189.84,nutriclinic_minio,0.03,97.0,1.24,0.05,0.01
1778068192.94,nutriclinic_bot,487.5,2040.8,26.04,15.6,1.95
1778068192.94,nutriclinic_redis,0.3,10.4,0.13,0.39,0.18
1778068192.94,nutriclinic_postgres,0.15,40.8,0.52,42.7,76.8
1778068192.94,nutriclinic_minio,0.0,97.0,1.24,0.05,0.01
1778068196.0,nutriclinic_bot,0.27,2033.7,25.95,15.6,1.98
1778068196.0,nutriclinic_redis,0.25,10.9,0.14,0.39,0.18
1778068196.0,nutriclinic_postgres,0.03,40.8,0.52,42.7,76.8
1778068196.0,nutriclinic_minio,0.0,97.0,1.24,0.05,0.01
1778068199.09,nutriclinic_bot,0.0,2037.8,26.01,15.6,2.01
1778068199.09,nutriclinic_redis,1.44,10.4,0.13,0.39,0.18
1778068199.09,nutriclinic_postgres,3.04,40.8,0.52,42.7,76.8
1778068199.09,nutriclinic_minio,2.67,97.1,1.24,0.05,0.01
1778068202.34,nutriclinic_bot,1.47,2038.8,26.01,15.6,2.02
1778068202.34,nutriclinic_redis,0.34,10.4,0.13,0.39,0.18
1778068202.34,nutriclinic_postgres,0.01,40.8,0.52,42.7,76.8
1778068202.34,nutriclinic_minio,0.0,97.1,1.24,0.05,0.01
1778068205.46,nutriclinic_bot,0.98,2037.8,26.01,15.7,2.03
1778068205.46,nutriclinic_redis,0.87,10.7,0.14,0.39,0.18
1778068205.46,nutriclinic_postgres,0.01,40.8,0.52,42.7,76.8
1778068205.46,nutriclinic_minio,0.02,97.1,1.24,0.05,0.01
1778068208.54,nutriclinic_bot,624.23,2065.4,26.36,15.7,2.13
1778068208.54,nutriclinic_redis,0.27,10.4,0.13,0.39,0.18
1778068208.54,nutriclinic_postgres,0.04,42.5,0.54,42.8,76.8
1778068208.54,nutriclinic_minio,0.02,97.1,1.24,0.05,0.01
1778068211.62,nutriclinic_bot,0.0,2033.7,25.95,15.7,2.13
1778068211.62,nutriclinic_redis,0.92,10.7,0.14,0.39,0.18
1778068211.62,nutriclinic_postgres,0.01,42.5,0.54,42.8,76.8
1778068211.62,nutriclinic_minio,0.11,97.3,1.24,0.05,0.01
1778068214.71,nutriclinic_bot,152.26,2062.3,26.32,15.7,2.17
1778068214.71,nutriclinic_redis,2.37,10.4,0.13,0.39,0.18
1778068214.71,nutriclinic_postgres,0.05,42.5,0.54,42.9,76.8
1778068214.71,nutriclinic_minio,0.03,97.1,1.24,0.05,0.01
1778068217.78,nutriclinic_bot,382.37,2065.4,26.36,15.7,2.21
1778068217.78,nutriclinic_redis,0.2,10.4,0.13,0.39,0.18
1778068217.78,nutriclinic_postgres,0.0,44.7,0.57,42.9,76.8
1778068217.78,nutriclinic_minio,0.0,97.1,1.24,0.05,0.01
1778068220.88,nutriclinic_bot,0.06,2066.4,26.37,15.7,2.25
1778068220.88,nutriclinic_redis,0.6,10.7,0.14,0.39,0.18
1778068220.88,nutriclinic_postgres,0.01,44.7,0.57,42.9,76.8
1778068220.88,nutriclinic_minio,0.08,97.1,1.24,0.05,0.01
1778068223.98,nutriclinic_bot,0.4,2066.4,26.37,15.7,2.25
1778068223.98,nutriclinic_redis,1.68,10.7,0.14,0.39,0.18
1778068223.98,nutriclinic_postgres,2.65,44.7,0.57,42.9,76.8
1778068223.98,nutriclinic_minio,2.51,97.4,1.24,0.05,0.01
1778068227.08,nutriclinic_bot,188.66,2038.8,26.02,15.8,2.29
1778068227.08,nutriclinic_redis,0.67,10.7,0.14,0.39,0.18
1778068227.08,nutriclinic_postgres,0.12,44.7,0.57,43.0,76.8
1778068227.08,nutriclinic_minio,0.12,97.3,1.24,0.05,0.01
1778068230.14,nutriclinic_bot,0.0,2038.8,26.02,15.8,2.32
1778068230.14,nutriclinic_redis,0.21,10.4,0.13,0.39,0.18
