ts,container,cpu_pct,mem_mb,mem_pct,net_in_mb,net_out_mb
1778070012.4,nutriclinic_bot,203.15,1370.1,17.49,57.4,45.6
1778070012.4,nutriclinic_redis,0.84,10.5,0.13,0.61,0.28
1778070012.4,nutriclinic_postgres,0.0,32.9,0.42,80.2,103.0
1778070012.4,nutriclinic_minio,0.04,98.5,1.26,0.05,0.01
1778070015.48,nutriclinic_bot,103.19,1942.5,24.79,62.3,45.6
1778070015.48,nutriclinic_redis,0.48,10.4,0.13,0.61,0.28
1778070015.48,nutriclinic_postgres,0.0,34.7,0.44,80.2,108.0
1778070015.48,nutriclinic_minio,0.02,98.5,1.26,0.05,0.01
1778070018.59,nutriclinic_bot,11.37,1897.5,24.21,62.3,45.6
1778070018.59,nutriclinic_redis,0.36,10.4,0.13,0.61,0.28
1778070018.59,nutriclinic_postgres,0.45,36.8,0.47,80.3,108.0
1778070018.59,nutriclinic_minio,0.0,98.5,1.26,0.05,0.01
1778070021.68,nutriclinic_bot,103.01,2020.4,25.78,62.3,45.7
1778070021.68,nutriclinic_redis,0.23,10.7,0.14,0.61,0.28
1778070021.68,nutriclinic_postgres,0.03,36.8,0.47,80.3,108.0
1778070021.68,nutriclinic_minio,0.0,98.5,1.26,0.05,0.01
1778070024.79,nutriclinic_bot,0.65,2021.4,25.8,62.3,45.7
1778070024.79,nutriclinic_redis,0.79,10.9,0.14,0.62,0.28
1778070024.79,nutriclinic_postgres,0.0,36.8,0.47,80.3,108.0
1778070024.79,nutriclinic_minio,0.0,98.5,1.26,0.05,0.01
1778070027.89,nutriclinic_bot,499.32,2022.4,25.8,62.4,45.8
1778070027.89,nutriclinic_redis,0.81,10.7,0.14,0.62,0.28
1778070027.89,nutriclinic_postgres,0.04,36.8,0.47,80.4,108.0
1778070027.89,nutriclinic_minio,0.04,98.5,1.26,0.05,0.01
1778070030.96,nutriclinic_bot,0.02,2021.4,25.79,62.4,45.8
1778070030.96,nutriclinic_redis,0.19,10.7,0.14,0.62,0.28
1778070030.96,nutriclinic_postgres,1.92,36.9,0.47,80.4,108.0
1778070030.96,nutriclinic_minio,1.77,98.7,1.26,0.05,0.01
1778070034.06,nutriclinic_bot,272.43,2030.6,25.91,62.4,45.9
1778070034.06,nutriclinic_redis,0.7,10.7,0.14,0.62,0.28
1778070034.06,nutriclinic_postgres,0.07,36.8,0.47,80.5,108.0
1778070034.06,nutriclinic_minio,0.0,98.5,1.26,0.05,0.01
1778070037.16,nutriclinic_bot,0.71,2029.6,25.91,62.4,45.9
1778070037.16,nutriclinic_redis,0.74,10.7,0.14,0.62,0.28
1778070037.16,nutriclinic_postgres,0.0,37.0,0.47,80.5,108.0
1778070037.16,nutriclinic_minio,0.04,98.5,1.26,0.05,0.01
1778070040.27,nutriclinic_bot,96.53,2029.6,25.9,62.4,45.9
1778070040.27,nutriclinic_redis,0.44,10.7,0.14,0.62,0.28
1778070040.27,nutriclinic_postgres,0.0,36.9,0.47,80.5,108.0
1778070040.27,nutriclinic_minio,0.0,98.5,1.26,0.05,0.01
1778070043.34,nutriclinic_bot,785.7,2033.7,25.95,62.4,46.0
1778070043.34,nutriclinic_redis,0.22,10.4,0.13,0.62,0.28
1778070043.34,nutriclinic_postgres,0.08,36.9,0.47,80.6,108.0
1778070043.34,nutriclinic_minio,0.04,98.5,1.26,0.05,0.01
1778070046.45,nutriclinic_bot,0.96,2030.6,25.91,62.5,46.1
1778070046.45,nutriclinic_redis,0.57,10.4,0.13,0.62,0.28
1778070046.45,nutriclinic_postgres,2.29,36.9,0.47,80.6,108.0
1778070046.45,nutriclinic_minio,2.13,98.7,1.26,0.05,0.01
1778070049.53,nutriclinic_bot,0.02,2027.5,25.88,62.5,46.1
1778070049.53,nutriclinic_redis,0.51,10.4,0.13,0.62,0.28
1778070049.53,nutriclinic_postgres,0.0,36.9,0.47,80.6,108.0
