ts,container,cpu_pct,mem_mb,mem_pct,net_in_mb,net_out_mb
1778056453.41,nutriclinic_bot,0.0,1608.7,20.53,5.17,0.29
1778056453.41,nutriclinic_redis,0.6,7.1,0.09,0.05,0.07
1778056453.41,nutriclinic_postgres,0.0,47.2,0.6,1.13,19.9
1778056453.41,nutriclinic_minio,0.05,137.5,1.75,0.09,0.02
1778056456.5,nutriclinic_bot,0.0,1608.7,20.53,5.17,0.29
1778056456.5,nutriclinic_redis,0.26,6.6,0.08,0.05,0.07
1778056456.5,nutriclinic_postgres,0.0,49.0,0.62,1.28,24.8
1778056456.5,nutriclinic_minio,0.0,137.5,1.75,0.09,0.02
1778056459.59,nutriclinic_bot,0.59,1608.7,20.53,5.17,0.29
1778056459.59,nutriclinic_redis,0.78,6.6,0.08,0.05,0.07
1778056459.59,nutriclinic_postgres,0.03,49.0,0.62,1.28,24.8
1778056459.59,nutriclinic_minio,1.59,138.2,1.76,0.09,0.02
1778056462.67,nutriclinic_bot,0.01,1608.7,20.53,5.17,0.29
1778056462.67,nutriclinic_redis,0.81,7.2,0.09,0.05,0.07
1778056462.67,nutriclinic_postgres,0.0,49.0,0.62,1.28,24.8
1778056462.67,nutriclinic_minio,0.0,137.5,1.75,0.09,0.02
1778056465.75,nutriclinic_bot,0.0,1608.7,20.53,5.17,0.29
1778056465.75,nutriclinic_redis,0.64,6.4,0.08,0.05,0.07
1778056465.75,nutriclinic_postgres,2.95,49.0,0.63,1.28,24.8
1778056465.75,nutriclinic_minio,2.87,137.8,1.76,0.09,0.02
1778056468.82,nutriclinic_bot,0.06,1608.7,20.53,5.18,0.3
1778056468.82,nutriclinic_redis,0.19,6.6,0.08,0.05,0.07
1778056468.82,nutriclinic_postgres,0.41,52.8,0.67,1.32,24.8
1778056468.82,nutriclinic_minio,0.0,137.5,1.75,0.09,0.02
1778056471.9,nutriclinic_bot,0.0,1608.7,20.53,5.18,0.3
1778056471.9,nutriclinic_redis,0.46,6.4,0.08,0.05,0.07
1778056471.9,nutriclinic_postgres,0.0,52.8,0.67,1.32,24.8
1778056471.9,nutriclinic_minio,0.02,137.6,1.76,0.09,0.02
1778056475.01,nutriclinic_bot,0.0,1608.7,20.53,5.18,0.3
1778056475.01,nutriclinic_redis,0.35,6.4,0.08,0.05,0.07
1778056475.01,nutriclinic_postgres,0.0,52.8,0.67,1.32,24.8
1778056475.01,nutriclinic_minio,0.03,137.5,1.75,0.09,0.02
1778056478.08,nutriclinic_bot,0.0,1608.7,20.53,5.18,0.3
1778056478.08,nutriclinic_redis,0.88,6.4,0.08,0.05,0.07
1778056478.08,nutriclinic_postgres,0.41,55.0,0.7,1.36,24.8
