ts,container,cpu_pct,mem_mb,mem_pct,net_in_mb,net_out_mb
1778068813.7,nutriclinic_bot,196.1,1417.2,18.08,30.8,15.5
1778068813.7,nutriclinic_redis,0.8,10.4,0.13,0.46,0.21
1778068813.7,nutriclinic_postgres,1.99,32.9,0.42,54.3,87.2
1778068813.7,nutriclinic_minio,1.91,98.5,1.26,0.05,0.01
1778068816.76,nutriclinic_bot,15.81,1912.8,24.41,35.7,15.6
1778068816.76,nutriclinic_redis,0.73,10.4,0.13,0.46,0.21
1778068816.76,nutriclinic_postgres,0.62,36.5,0.47,54.3,92.1
1778068816.76,nutriclinic_minio,0.03,98.3,1.25,0.05,0.01
1778068819.85,nutriclinic_bot,916.3,2042.9,26.07,35.8,15.8
1778068819.85,nutriclinic_redis,0.23,10.4,0.13,0.46,0.21
1778068819.85,nutriclinic_postgres,0.3,43.1,0.55,54.5,92.1
1778068819.85,nutriclinic_minio,0.0,98.3,1.25,0.05,0.01
1778068822.94,nutriclinic_bot,676.13,2046.0,26.11,35.9,16.0
1778068822.94,nutriclinic_redis,0.35,10.7,0.14,0.46,0.21
1778068822.94,nutriclinic_postgres,0.36,50.9,0.65,54.7,92.1
1778068822.94,nutriclinic_minio,0.02,98.3,1.25,0.05,0.01
1778068826.02,nutriclinic_bot,802.48,2051.1,26.18,36.0,16.2
1778068826.02,nutriclinic_redis,0.25,10.4,0.13,0.46,0.22
1778068826.02,nutriclinic_postgres,0.15,52.5,0.67,54.9,92.1
1778068826.02,nutriclinic_minio,0.0,98.3,1.25,0.05,0.01
1778068829.11,nutriclinic_bot,749.31,2046.0,26.1,36.0,16.4
1778068829.11,nutriclinic_redis,0.29,10.9,0.14,0.46,0.22
1778068829.11,nutriclinic_postgres,2.22,52.5,0.67,55.0,92.1
1778068829.11,nutriclinic_minio,2.35,98.3,1.25,0.05,0.01
1778068832.2,nutriclinic_bot,553.64,2053.1,26.21,36.1,16.6
1778068832.2,nutriclinic_redis,0.32,10.4,0.13,0.47,0.22
1778068832.2,nutriclinic_postgres,1.05,50.2,0.64,55.2,92.1
1778068832.2,nutriclinic_minio,0.0,98.3,1.25,0.05,0.01
1778068835.28,nutriclinic_bot,934.22,2054.1,26.21,36.2,16.8
1778068835.28,nutriclinic_redis,0.31,10.4,0.13,0.47,0.22
1778068835.28,nutriclinic_postgres,1.05,63.4,0.81,55.4,92.2
1778068835.28,nutriclinic_minio,0.03,98.3,1.25,0.05,0.01
1778068838.37,nutriclinic_bot,834.42,2044.9,26.1,36.3,17.0
1778068838.37,nutriclinic_redis,0.84,10.4,0.13,0.47,0.22
1778068838.37,nutriclinic_postgres,0.13,47.2,0.6,55.6,92.2
1778068838.37,nutriclinic_minio,0.01,98.3,1.25,0.05,0.01
1778068841.46,nutriclinic_bot,834.47,2071.6,26.44,36.4,17.2
1778068841.46,nutriclinic_redis,0.26,10.4,0.13,0.47,0.22
1778068841.46,nutriclinic_postgres,0.94,67.2,0.86,55.9,92.2
1778068841.46,nutriclinic_minio,0.01,98.3,1.25,0.05,0.01
1778068844.54,nutriclinic_bot,921.19,2046.0,26.12,36.5,17.5
1778068844.54,nutriclinic_redis,0.29,10.4,0.13,0.47,0.22
1778068844.54,nutriclinic_postgres,3.87,58.7,0.75,56.0,92.2
1778068844.54,nutriclinic_minio,0.02,98.3,1.25,0.05,0.01
1778068847.61,nutriclinic_bot,909.67,2074.6,26.48,36.7,17.9
1778068847.61,nutriclinic_redis,0.24,10.4,0.13,0.47,0.22
1778068847.61,nutriclinic_postgres,2.52,56.8,0.72,56.3,92.3
1778068847.61,nutriclinic_minio,0.0,98.3,1.25,0.05,0.01
1778068850.69,nutriclinic_bot,960.36,2072.6,26.45,36.7,18.2
1778068850.69,nutriclinic_redis,0.25,10.7,0.14,0.47,0.22
1778068850.69,nutriclinic_postgres,0.38,70.9,0.91,56.6,92.3
1778068850.69,nutriclinic_minio,0.03,98.3,1.25,0.05,0.01
1778068853.78,nutriclinic_bot,792.14,2061.3,26.3,36.8,18.3
1778068853.78,nutriclinic_redis,0.88,10.4,0.13,0.48,0.22
1778068853.78,nutriclinic_postgres,1.7,78.4,1.0,56.7,92.3
1778068853.78,nutriclinic_minio,0.03,98.3,1.25,0.05,0.01
1778068856.87,nutriclinic_bot,901.43,2068.5,26.4,36.9,18.5
1778068856.87,nutriclinic_redis,0.27,10.7,0.14,0.48,0.22
1778068856.87,nutriclinic_postgres,0.0,43.5,0.56,56.8,92.3
1778068856.87,nutriclinic_minio,0.65,98.3,1.25,0.05,0.01
1778068859.96,nutriclinic_bot,875.96,2067.5,26.38,37.0,18.8
1778068859.96,nutriclinic_redis,0.26,10.4,0.13,0.48,0.22
1778068859.96,nutriclinic_postgres,2.42,46.1,0.59,57.0,92.3
1778068859.96,nutriclinic_minio,2.01,98.2,1.25,0.05,0.01
1778068863.02,nutriclinic_bot,854.84,2048.0,26.13,37.1,19.0
1778068863.02,nutriclinic_redis,0.28,10.4,0.13,0.48,0.22
1778068863.02,nutriclinic_postgres,0.12,55.5,0.71,57.2,92.3
1778068863.02,nutriclinic_minio,0.02,98.2,1.25,0.05,0.01
1778068866.1,nutriclinic_bot,913.27,2074.6,26.48,37.1,19.2
1778068866.1,nutriclinic_redis,0.28,10.4,0.13,0.48,0.22
1778068866.1,nutriclinic_postgres,3.48,57.3,0.73,57.4,92.3
1778068866.1,nutriclinic_minio,0.0,98.2,1.25,0.05,0.01
1778068869.19,nutriclinic_bot,960.03,2041.9,26.06,37.2,19.4
1778068869.19,nutriclinic_redis,0.88,10.4,0.13,0.48,0.22
1778068869.19,nutriclinic_postgres,2.09,58.0,0.74,57.6,92.4
1778068869.19,nutriclinic_minio,1.91,98.2,1.25,0.05,0.01
1778068872.27,nutriclinic_bot,832.95,2067.5,26.39,37.3,19.5
1778068872.27,nutriclinic_redis,0.28,10.4,0.13,0.48,0.22
1778068872.27,nutriclinic_postgres,3.06,50.2,0.64,57.8,92.4
1778068872.27,nutriclinic_minio,0.04,98.2,1.25,0.05,0.01
1778068875.36,nutriclinic_bot,821.94,2074.6,26.47,37.4,19.8
1778068875.36,nutriclinic_redis,0.86,10.4,0.13,0.48,0.22
1778068875.36,nutriclinic_postgres,0.23,50.6,0.65,57.9,92.4
1778068875.36,nutriclinic_minio,0.04,98.2,1.25,0.05,0.01
1778068878.44,nutriclinic_bot,877.44,2073.6,26.46,37.5,20.0
1778068878.44,nutriclinic_redis,0.97,10.4,0.13,0.48,0.22
1778068878.44,nutriclinic_postgres,1.28,66.4,0.85,58.1,92.4
1778068878.44,nutriclinic_minio,0.03,98.2,1.25,0.05,0.01
1778068881.51,nutriclinic_bot,767.55,2069.5,26.41,37.6,20.2
1778068881.51,nutriclinic_redis,0.27,10.4,0.13,0.49,0.23
1778068881.51,nutriclinic_postgres,0.39,61.8,0.79,58.3,92.4
1778068881.51,nutriclinic_minio,0.0,98.2,1.25,0.05,0.01
1778068884.61,nutriclinic_bot,813.27,2067.5,26.39,37.6,20.3
1778068884.61,nutriclinic_redis,0.32,10.4,0.13,0.49,0.23
1778068884.61,nutriclinic_postgres,3.12,53.5,0.68,58.5,92.4
1778068884.61,nutriclinic_minio,2.04,98.2,1.25,0.05,0.01
1778068887.68,nutriclinic_bot,938.05,2074.6,26.48,37.7,20.6
1778068887.68,nutriclinic_redis,0.28,10.4,0.13,0.49,0.23
1778068887.68,nutriclinic_postgres,0.0,61.8,0.79,58.6,92.4
1778068887.68,nutriclinic_minio,0.07,98.2,1.25,0.05,0.01
1778068890.78,nutriclinic_bot,886.55,2073.6,26.47,37.9,20.9
1778068890.78,nutriclinic_redis,0.27,10.4,0.13,0.49,0.23
1778068890.78,nutriclinic_postgres,2.31,71.4,0.91,58.9,92.5
1778068890.78,nutriclinic_minio,0.05,98.2,1.25,0.05,0.01
1778068893.87,nutriclinic_bot,965.23,2081.8,26.57,38.0,21.1
1778068893.87,nutriclinic_redis,1.0,10.4,0.13,0.49,0.23
1778068893.87,nutriclinic_postgres,1.68,63.9,0.81,59.2,92.5
1778068893.87,nutriclinic_minio,0.0,98.2,1.25,0.05,0.01
1778068896.94,nutriclinic_bot,782.94,2073.6,26.46,38.0,21.4
1778068896.94,nutriclinic_redis,0.27,10.4,0.13,0.49,0.23
1778068896.94,nutriclinic_postgres,0.84,71.8,0.92,59.3,92.5
1778068896.94,nutriclinic_minio,0.02,98.2,1.25,0.05,0.01
1778068900.03,nutriclinic_bot,800.89,2058.2,26.27,38.0,21.4
1778068900.03,nutriclinic_redis,0.27,10.7,0.14,0.49,0.23
1778068900.03,nutriclinic_postgres,4.05,55.3,0.71,59.4,92.5
1778068900.03,nutriclinic_minio,1.99,98.2,1.25,0.05,0.01
1778068903.33,nutriclinic_bot,843.33,2058.2,26.26,38.2,21.8
1778068903.33,nutriclinic_redis,0.25,10.4,0.13,0.49,0.23
1778068903.33,nutriclinic_postgres,0.15,54.0,0.69,59.6,92.5
1778068903.33,nutriclinic_minio,0.04,98.2,1.25,0.05,0.01
1778068906.42,nutriclinic_bot,817.12,2089.0,26.65,38.3,22.0
1778068906.42,nutriclinic_redis,0.32,10.7,0.14,0.49,0.23
1778068906.42,nutriclinic_postgres,2.16,64.0,0.82,59.8,92.5
1778068906.42,nutriclinic_minio,0.02,98.2,1.25,0.05,0.01
1778068909.51,nutriclinic_bot,909.78,2074.6,26.47,38.4,22.2
1778068909.51,nutriclinic_redis,0.86,10.4,0.13,0.5,0.23
1778068909.51,nutriclinic_postgres,2.06,69.4,0.89,60.0,92.6
